,ELO
AFG,1257.1
ALB,1596.0
ALG,1796.7
AND,1157.9
ANG,1541.2
ARG,2088.4
ARM,1421.0
ATG,1230.5
AUS,1834.5
AUT,1782.8
AZE,1388.8
BAN,1238.6
BDI,1378.0
BEL,1881.6
BEN,1529.5
BER,1385.0
BFA,1629.9
BHR,1531.4
BHU,1026.8
BIH,1634.3
BLR,1510.9
BLZ,1323.4
BOL,1661.6
BOT,1412.5
BRA,1929.7
BRB,1208.6
BRU,1081.3
BUL,1508.5
CAM,1187.2
CAN,1790.1
CAY,1194.0
CGO,1353.8
CHA,1267.0
CHI,1699.6
CHN,1564.3
CIV,1768.4
CMR,1667.6
COD,1722.3
COL,1932.0
COM,1455.3
CPV,1658.6
CRC,1685.1
CRO,1860.6
CTA,1359.3
CUB,1423.1
CUW,1572.6
CYP,1381.3
CZE,1692.6
DEN,1812.5
DMA,1230.8
DOM,1475.5
ECU,1863.0
EGY,1773.2
ENG,1988.9
EQG,1450.8
ESP,2095.2
EST,1413.1
ETH,1403.5
FIJ,1448.4
FIN,1540.7
FRA,2032.4
FRO,1407.8
GAB,1542.9
GAM,1490.3
GEO,1608.7
GER,1901.2
GGY,1691.5
GHA,1634.9
GIB,1157.6
GNB,1379.1
GPE,1521.5
GRE,1702.7
GRN,1341.3
GUA,1608.3
GUI,1512.5
GUM,1098.1
GUY,1478.1
GYF,1423.2
HAI,1608.1
HKG,1374.9
HON,1646.1
HUN,1721.0
IDN,1526.8
IND,1315.1
IRL,1695.7
IRN,1822.8
IRQ,1689.3
ISL,1559.1
ISR,1598.2
ITA,1845.1
JAM,1632.6
JEY,1755.8
JOR,1675.1
JPN,1893.9
KAZ,1471.8
KEN,1465.3
KGZ,1493.8
KOR,1798.5
KSA,1687.0
KUW,1503.8
KVX,1684.1
LAO,1100.6
LBR,1426.5
LBY,1526.6
LCA,1309.3
LES,1406.6
LIB,1453.1
LIE,1054.6
LTU,1310.7
LUX,1419.3
LVA,1326.9
MAC,1019.5
MAD,1495.1
MAR,1935.5
MAS,1535.8
MDA,1312.7
MDV,1127.0
MEX,1918.9
MKD,1592.8
MLI,1645.0
MLT,1357.0
MNE,1493.0
MOZ,1487.2
MRI,1268.8
MTN,1447.7
MTQ,1469.2
MWI,1411.4
MYA,1244.9
NAM,1410.2
NCA,1495.5
NCL,1549.0
NED,1923.5
NEP,1201.3
NGA,1771.9
NIG,1468.8
NIR,1576.1
NOR,1890.0
NZL,1648.1
OMA,1595.2
PAK,1188.0
PAN,1701.7
PAR,1820.9
PER,1677.6
PHI,1390.5
PLE,1559.1
PNG,1481.0
POL,1724.8
POR,1923.7
PRK,1488.0
PUR,1414.1
QAT,1589.3
ROU,1614.6
RSA,1655.6
RUS,1776.9
RWA,1456.1
SCO,1747.8
SDN,1456.5
SEN,1784.9
SEY,1070.8
SGP,1375.8
SKN,1341.7
SLE,1452.3
SLV,1484.1
SMR,953.1
SOL,1402.8
SRB,1708.7
SRI,1138.2
SUI,1866.9
SUR,1563.7
SVK,1650.1
SVN,1662.4
SWE,1719.1
SWZ,1314.2
SYR,1556.5
TAH,1507.2
TAN,1398.3
THA,1560.4
TJK,1458.3
TKM,1419.1
TOG,1476.3
TPE,1167.5
TRI,1520.8
TUN,1653.7
TUR,1837.5
UAE,1649.0
UGA,1519.8
UKR,1729.4
URU,1812.9
USA,1826.8
UZB,1727.9
VAN,1465.8
VEN,1725.8
VGB,1129.3
VIE,1538.2
VIN,1371.5
WAL,1687.1
YEM,1342.1
ZAM,1510.4
ZAN,1538.8
ZIM,1431.5
