date,home_team,away_team,home_goals,away_goals,sede_ciudad,sede_pais,sede_nombre,odd_home,odd_draw,odd_away,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2021-07-03 17:00:00,Barracas Central,Brown de Adrogué,1.0,1.0,Buenos Aires,Argentina,Claudio Chiqui Tapia,,,,Primera Nacional,,20210703_Barracas-Central_Brown-de-Adrogué,0.0,1.28,0.8,3,1,5,3,47.6,52.4,1,0,0,0,4,2
2021-07-03 18:00:00,Tristán Suárez,San Telmo,1.0,1.0,Buenos Aires,Argentina,20 de Octubre,,,,Primera Nacional,,20210703_Tristán-Suárez_San-Telmo,0.0,1.8,0.73,6,2,12,4,52.4,47.6,3,1,0,0,10,2
2021-07-04 18:00:00,Deportivo Morón,Santamarina,2.0,1.0,Morón,Argentina,Nuevo Francisco Urbano,,,,Primera Nacional,,20210704_Deportivo-Morón_Santamarina,0.0,1.08,1.67,3,4,7,9,50.2,49.8,0,3,0,0,5,4
2021-07-04 18:00:00,Güemes,Almagro,0.0,2.0,Santiago del Estero,Argentina,Arturo Miranda,,,,Primera Nacional,,20210704_Güemes_Almagro,0.0,0.28,0.53,1,2,3,6,55.2,44.8,4,1,0,1,5,4
2021-07-04 18:00:00,Quilmes,Almirante Brown,3.0,1.0,"Quilmes, Buenos Aires",Argentina,Estadio Centenario Ciudad de Quilmes,,,,Primera Nacional,,20210704_Quilmes_Almirante-Brown,0.0,2.63,0.05,9,1,20,2,47.9,52.1,3,2,0,0,9,7
2021-07-04 18:10:00,Ferro Carril Oeste,Defensores de Belgrano,1.0,1.0,Buenos Aires,Argentina,Arquitecto Ricardo Etcheverry,,,,Primera Nacional,,20210704_Ferro-Carril-Oeste_Defensores-de-Belgrano,0.0,1.46,0.73,5,1,13,3,48.1,51.9,0,4,0,0,5,0
2021-07-04 18:30:00,All Boys,Atletico Rafaela,0.0,1.0,Buenos Aires,Argentina,Islas Malvinas,,,,Primera Nacional,,20210704_All-Boys_Atletico-Rafaela,0.0,0.55,1.12,1,6,3,12,48.0,52.0,1,4,0,0,4,9
2021-07-04 18:30:00,Deportivo Maipú,Belgrano (Córdoba),1.0,2.0,Maipú,Argentina,Estadio Omar Higinio Sperdutti,,,,Primera Nacional,,20210704_Deportivo-Maipú_Belgrano-(Córdoba),0.0,0.48,1.27,1,2,4,5,47.4,52.6,0,0,0,0,1,3
2021-07-04 18:30:00,Independiente Rivadavia,Guillermo Brown,0.0,2.0,Mendoza,Argentina,Bautista Garganti,,,,Primera Nacional,,20210704_Independiente-Rivadavia_Guillermo-Brown,0.0,0.93,0.05,5,2,11,6,53.1,46.9,0,1,0,0,5,2
2021-07-04 18:30:00,Instituto (Córdoba),San Martín (San Juan),1.0,1.0,Córdoba,Argentina,Monumental Presidente Perón,,,,Primera Nacional,,20210704_Instituto-(Córdoba)_San-Martín-(San-Juan),0.0,0.99,0.39,3,1,8,2,52.4,47.6,1,2,0,0,5,6
