date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-09-22,Colon Santa FE,Godoy Cruz,3,1,2.63,2.83,3.03,2.69,2.91,3.12,Primera División,,20180922_Colon-Santa-FE_Godoy-Cruz,0.0,1.57,1.41,5,4,9,8,54.4,45.6,3,1,0,0,4,6
2018-09-22,Newells Old Boys,Lanus,2,0,2.0,3.1,4.14,2.01,3.16,4.49,Primera División,,20180922_Newells-Old-Boys_Lanus,0.0,0.67,0.39,3,2,5,2,46.2,53.8,0,3,0,0,5,4
2018-09-22,Talleres Cordoba,Velez Sarsfield,1,1,2.51,2.83,3.21,2.55,2.94,3.29,Primera División,,20180922_Talleres-Cordoba_Velez-Sarsfield,0.0,0.58,2.13,1,7,1,13,53.7,46.3,1,0,0,0,3,4
2018-09-23,Banfield,Independiente,1,1,3.65,2.93,2.23,3.92,3.15,2.16,Primera División,,20180923_Banfield_Independiente,0.0,1.01,0.93,2,1,4,3,44.1,55.9,0,3,0,0,5,3
2018-09-23,Boca Juniors,River Plate,0,2,2.43,2.95,3.19,2.46,3.02,3.35,Primera División,,20180923_Boca-Juniors_River-Plate,0.0,1.79,0.82,6,2,14,7,46.1,53.9,2,0,0,0,6,4
2018-09-23,Gimnasia L.P.,Rosario Central,1,1,2.87,2.86,2.73,2.95,2.91,2.82,Primera División,,20180923_Gimnasia-L.P._Rosario-Central,0.0,1.48,1.22,4,3,11,6,52.7,47.3,3,2,0,0,3,3
2018-09-23,San Martin S.J.,Atl. Tucuman,1,3,3.22,3.12,2.32,3.28,3.31,2.33,Primera División,,20180923_San-Martin-S.J._Atl.-Tucuman,0.0,1.32,1.61,3,6,8,13,49.5,50.5,3,3,0,0,3,7
2018-09-23,San Martin T.,Argentinos Jrs,0,0,2.48,2.91,3.15,2.58,2.96,3.21,Primera División,,20180923_San-Martin-T._Argentinos-Jrs,0.0,0.77,0.39,2,0,4,0,50.8,49.2,2,2,0,0,3,2
2018-09-23,Tigre,Huracan,0,2,2.49,2.98,3.05,2.52,3.04,3.21,Primera División,,20180923_Tigre_Huracan,0.0,0.68,0.31,2,2,5,3,54.1,45.9,0,3,0,1,8,1
2018-09-24,Aldosivi,Belgrano,2,0,2.62,2.86,3.01,2.69,2.94,3.08,Primera División,,20180924_Aldosivi_Belgrano,0.0,1.2,0.88,4,2,10,2,53.2,46.8,2,3,1,0,6,2
2018-09-25,Racing Club,Union de Santa Fe,1,0,1.79,3.32,4.94,1.83,3.35,5.17,Primera División,,20180925_Racing-Club_Union-de-Santa-Fe,0.0,1.24,1.18,5,3,11,5,53.5,46.5,2,1,0,0,6,4
2018-09-28,Independiente,Tigre,0,0,2.24,3.07,3.41,2.29,3.21,3.54,Primera División,,20180928_Independiente_Tigre,12.0,0.29,0.79,0,2,2,6,52.9,47.1,2,1,0,0,3,8
2018-09-29,Lanus,River Plate,1,5,3.84,3.15,2.06,4.01,3.28,2.09,Primera División,,20180929_Lanus_River-Plate,-24.0,1.62,1.36,6,5,13,13,49.0,51.0,2,2,0,0,5,6
2018-09-30,Argentinos Jrs,Racing Club,0,2,3.78,3.1,2.1,3.92,3.23,2.14,Primera División,,20180930_Argentinos-Jrs_Racing-Club,-12.0,1.35,0.92,3,3,7,7,50.9,49.1,1,0,0,0,1,7
