date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-09-02,Athletico-PR,Bahia,2.0,0.0,1.84,3.39,4.46,1.87,3.49,4.71,Brasileirão Serie A,,20180902_Athletico-PR_Bahia,0.0,0.13,0.81,2,1,5,4,44.8,55.2,1,1,0,0,3,3
2018-09-02,Chapecoense-SC,Palmeiras,1.0,2.0,3.61,2.97,2.22,3.74,3.1,2.25,Brasileirão Serie A,,20180902_Chapecoense-SC_Palmeiras,0.0,1.53,1.03,4,2,8,5,52.8,47.2,1,0,0,0,1,7
2018-09-02,Corinthians,Atletico-MG,1.0,1.0,2.86,3.12,2.54,2.95,3.27,2.58,Brasileirão Serie A,,20180902_Corinthians_Atletico-MG,0.0,1.48,1.44,4,4,8,8,47.4,52.6,0,3,0,0,3,1
2018-09-02,Cruzeiro,Internacional,0.0,0.0,2.04,3.03,4.11,2.04,3.11,4.48,Brasileirão Serie A,,20180902_Cruzeiro_Internacional,0.0,0.8,1.06,4,2,9,4,52.2,47.8,2,1,0,0,7,4
2018-09-02,Flamengo RJ,Ceara,0.0,1.0,1.34,4.6,10.14,1.33,4.99,12.24,Brasileirão Serie A,,20180902_Flamengo-RJ_Ceara,0.0,1.2,0.73,3,2,7,2,55.0,45.0,1,2,0,0,3,1
2018-09-02,Sao Paulo,Fluminense,1.0,1.0,1.61,3.62,6.15,1.63,3.73,6.72,Brasileirão Serie A,,20180902_Sao-Paulo_Fluminense,0.0,1.93,1.27,6,6,11,12,48.6,51.4,4,1,0,0,7,5
2018-09-02,Sport Recife,Parana,1.0,0.0,1.86,3.27,4.57,1.85,3.39,5.09,Brasileirão Serie A,,20180902_Sport-Recife_Parana,0.0,0.69,0.43,4,1,11,2,43.6,56.4,2,0,0,0,8,2
2018-09-05,Bahia,Sport Recife,2.0,0.0,1.64,3.6,5.66,1.65,3.83,6.01,Brasileirão Serie A,,20180905_Bahia_Sport-Recife,-24.0,1.14,0.68,2,1,5,1,49.5,50.5,1,1,0,0,4,5
2018-09-05,Botafogo RJ,Cruzeiro,1.0,1.0,3.11,2.96,2.49,3.27,2.99,2.57,Brasileirão Serie A,,20180905_Botafogo-RJ_Cruzeiro,0.0,0.87,0.31,2,2,5,4,59.5,40.5,1,1,0,0,3,10
2018-09-06,Atletico-MG,Sao Paulo,1.0,0.0,2.11,3.29,3.53,2.11,3.54,3.66,Brasileirão Serie A,,20180906_Atletico-MG_Sao-Paulo,0.0,0.9,0.05,2,1,4,1,47.8,52.2,2,1,0,0,4,0
2018-09-06,Ceara,Corinthians,2.0,1.0,2.26,2.96,3.55,2.32,3.06,3.61,Brasileirão Serie A,,20180906_Ceara_Corinthians,12.0,1.07,0.22,4,1,8,2,53.0,47.0,0,0,0,0,6,3
2018-09-06,Fluminense,Vitoria,0.0,0.0,1.73,3.47,5.09,1.73,3.59,5.67,Brasileirão Serie A,,20180906_Fluminense_Vitoria,0.0,0.66,0.05,3,0,7,1,44.1,55.9,0,1,0,0,3,1
2018-09-06,Internacional,Flamengo RJ,2.0,1.0,2.04,3.03,4.11,2.08,3.0,4.59,Brasileirão Serie A,,20180906_Internacional_Flamengo-RJ,12.0,0.55,0.21,3,1,7,2,51.9,48.1,1,2,0,0,5,1
2018-09-06,Palmeiras,Athletico-PR,2.0,0.0,1.52,3.78,7.18,1.55,3.8,8.05,Brasileirão Serie A,,20180906_Palmeiras_Athletico-PR,0.0,0.9,0.74,2,3,3,6,47.9,52.1,4,0,0,0,4,4
2018-09-06,Parana,Chapecoense-SC,1.0,1.0,2.39,2.87,3.35,2.49,2.91,3.49,Brasileirão Serie A,,20180906_Parana_Chapecoense-SC,0.0,0.67,1.75,3,6,6,13,46.6,53.4,0,0,0,0,7,9
2018-09-06,Santos,Gremio,0.0,0.0,2.57,2.84,3.09,2.69,2.82,3.27,Brasileirão Serie A,,20180906_Santos_Gremio,0.0,0.69,0.74,2,1,3,3,47.8,52.2,0,1,0,0,6,3
2018-09-07,America MG,Vasco,2.0,1.0,2.65,2.95,2.87,2.73,3.05,2.96,Brasileirão Serie A,,20180907_America-MG_Vasco,0.0,0.05,0.52,2,2,5,6,48.1,51.9,1,1,0,0,7,3
2018-09-08,Sao Paulo,Bahia,1.0,0.0,1.71,3.3,5.72,1.75,3.25,6.5,Brasileirão Serie A,,20180908_Sao-Paulo_Bahia,-12.827614673444032,1.31,1.66,4,6,8,12,42.2,57.8,4,0,0,0,4,2
2018-09-08,Sport Recife,Cruzeiro,0.0,0.0,3.5,2.91,2.29,3.69,3.0,2.34,Brasileirão Serie A,,20180908_Sport-Recife_Cruzeiro,-0.8276146734440317,1.0,0.56,3,2,7,4,44.9,55.1,3,1,0,0,2,6
2018-09-09,America MG,Ceara,0.0,0.0,1.94,3.23,4.19,1.99,3.28,4.45,Brasileirão Serie A,,20180909_America-MG_Ceara,-11.585699413622933,0.98,0.05,4,0,8,2,51.7,48.3,0,0,0,0,6,2
2018-09-09,Flamengo RJ,Chapecoense-SC,2.0,0.0,1.5,3.8,7.34,1.52,3.94,8.3,Brasileirão Serie A,,20180909_Flamengo-RJ_Chapecoense-SC,-11.585699413622933,1.19,1.46,4,6,9,16,45.0,55.0,1,1,0,0,1,6
2018-09-09,Fluminense,Botafogo RJ,1.0,0.0,2.47,3.0,3.05,2.46,3.13,3.25,Brasileirão Serie A,,20180909_Fluminense_Botafogo-RJ,0.0,0.05,0.72,1,3,2,4,50.5,49.5,1,0,0,0,0,3
2018-09-09,Internacional,Gremio,1.0,0.0,2.5,2.77,3.3,2.55,2.86,3.43,Brasileirão Serie A,,20180909_Internacional_Gremio,11.585699413622933,1.25,0.8,4,1,9,4,53.1,46.9,4,2,0,0,5,6
2018-09-09,Palmeiras,Corinthians,1.0,0.0,1.58,3.59,6.66,1.64,3.61,6.88,Brasileirão Serie A,,20180909_Palmeiras_Corinthians,35.58569941362293,1.53,0.29,5,1,10,1,50.7,49.3,0,1,0,0,1,4
2018-09-09,Parana,Santos,0.0,2.0,3.43,2.95,2.31,3.62,3.0,2.36,Brasileirão Serie A,,20180909_Parana_Santos,-12.0,0.27,1.32,3,5,6,13,49.5,50.5,2,2,0,0,6,4
2018-09-09,Vitoria,Vasco,1.0,0.0,2.26,3.16,3.28,2.34,3.27,3.34,Brasileirão Serie A,,20180909_Vitoria_Vasco,12.0,2.04,0.9,5,3,13,8,50.7,49.3,2,1,0,0,4,8
2018-09-11,Atletico-MG,Athletico-PR,3.0,1.0,1.93,3.28,4.18,1.98,3.31,4.45,Brasileirão Serie A,,20180911_Atletico-MG_Athletico-PR,12.0,1.6,0.74,5,3,12,7,52.2,47.8,0,1,0,0,6,2
2018-09-14,Chapecoense-SC,Athletico-PR,2.0,1.0,2.89,2.83,2.75,3.09,2.89,2.75,Brasileirão Serie A,,20180914_Chapecoense-SC_Athletico-PR,-12.814308212327887,1.38,1.87,4,8,9,17,47.1,52.9,0,2,0,0,3,6
2018-09-15,Ceara,Vitoria,2.0,0.0,1.92,3.26,4.24,1.89,3.41,4.58,Brasileirão Serie A,,20180915_Ceara_Vitoria,11.59999237404918,1.25,1.36,4,4,10,9,50.3,49.7,0,0,0,0,7,10
2018-09-15,Gremio,Parana,2.0,0.0,1.52,3.78,7.29,1.55,3.8,7.48,Brasileirão Serie A,,20180915_Gremio_Parana,11.985707039573754,0.16,1.09,2,4,4,8,52.7,47.3,1,1,0,0,1,4
2018-09-15,Vasco,Flamengo RJ,1.0,1.0,5.13,3.49,1.72,5.41,3.69,1.71,Brasileirão Serie A,,20180915_Vasco_Flamengo-RJ,-12.40000762595082,0.95,1.4,3,5,7,11,48.7,51.3,3,1,1,0,2,10
2018-09-16,Athletico-PR,Fluminense,3.0,1.0,1.62,3.75,5.65,1.61,3.95,6.07,Brasileirão Serie A,,20180916_Athletico-PR_Fluminense,-36.02808936021529,1.16,0.79,4,2,7,3,51.8,48.2,2,5,0,0,3,5
2018-09-16,Bahia,Palmeiras,1.0,1.0,2.94,2.98,2.57,2.98,3.09,2.63,Brasileirão Serie A,,20180916_Bahia_Palmeiras,-46.39042773503047,0.7,0.43,1,2,1,5,43.6,56.4,4,2,0,0,4,5
2018-09-16,Botafogo RJ,America MG,1.0,0.0,1.66,3.56,5.71,1.71,3.47,6.0,Brasileirão Serie A,,20180916_Botafogo-RJ_America-MG,-24.40000762595082,0.38,1.03,1,3,0,4,45.2,54.8,2,1,0,0,2,3
2018-09-16,Corinthians,Sport Recife,2.0,1.0,1.63,3.51,6.21,1.64,3.65,6.44,Brasileirão Serie A,,20180916_Corinthians_Sport-Recife,-21.561862982528055,0.94,0.05,3,1,7,3,50.6,49.4,0,2,0,0,2,5
2018-09-16,Cruzeiro,Atletico-MG,0.0,0.0,2.76,3.04,2.7,2.69,3.13,2.87,Brasileirão Serie A,,20180916_Cruzeiro_Atletico-MG,-23.61428415770456,0.75,1.17,2,4,4,7,49.5,50.5,1,2,1,0,8,5
2018-09-16,Santos,Sao Paulo,0.0,0.0,2.37,3.0,3.25,2.42,3.09,3.37,Brasileirão Serie A,,20180916_Santos_Sao-Paulo,11.142850503415957,0.43,0.1,3,1,8,3,53.3,46.7,2,3,0,0,7,3
2018-09-18,Chapecoense-SC,Internacional,2.0,1.0,3.69,2.98,2.19,3.85,3.03,2.22,Brasileirão Serie A,,20180918_Chapecoense-SC_Internacional,-35.143309467030576,1.28,1.04,3,3,7,5,50.9,49.1,4,1,0,0,6,3
2018-09-22,Sao Paulo,America MG,1.0,1.0,1.43,4.02,8.87,1.44,4.12,10.23,Brasileirão Serie A,,20180922_Sao-Paulo_America-MG,1.2689334393228364,0.39,1.87,1,8,0,20,51.2,48.8,0,1,0,0,1,5
2018-09-23,Athletico-PR,Parana,3.0,0.0,1.5,3.95,6.96,1.52,4.21,7.15,Brasileirão Serie A,,20180923_Athletico-PR_Parana,24.383727498242706,1.87,0.14,5,0,12,0,47.8,52.2,1,0,0,0,5,2
2018-09-23,Corinthians,Internacional,1.0,1.0,2.69,2.86,2.92,2.78,2.92,2.98,Brasileirão Serie A,,20180923_Corinthians_Internacional,-19.593134832765827,0.05,0.97,1,2,2,7,49.7,50.3,1,2,0,0,4,2
2018-09-23,Cruzeiro,Santos,2.0,1.0,2.42,2.91,3.26,2.43,3.01,3.41,Brasileirão Serie A,,20180923_Cruzeiro_Santos,-10.415200758389574,1.7,0.93,7,3,15,6,54.6,45.4,3,2,0,0,6,5
2018-09-23,Flamengo RJ,Atletico-MG,2.0,1.0,1.82,3.37,4.62,1.81,3.46,5.08,Brasileirão Serie A,,20180923_Flamengo-RJ_Atletico-MG,-34.3851356607679,1.57,0.96,6,2,16,6,52.3,47.7,0,1,0,0,4,10
2018-09-23,Gremio,Ceara,3.0,2.0,1.35,4.26,11.64,1.34,4.56,14.0,Brasileirão Serie A,,20180923_Gremio_Ceara,-34.798990936363225,1.59,1.64,4,7,6,14,52.9,47.1,4,2,0,0,8,7
2018-09-23,Sport Recife,Palmeiras,0.0,1.0,4.4,3.33,1.87,4.62,3.45,1.88,Brasileirão Serie A,,20180923_Sport-Recife_Palmeiras,-46.725175021115774,1.15,1.08,5,4,9,8,48.6,51.4,0,1,0,0,4,5
2018-09-23,Vitoria,Botafogo RJ,3.0,4.0,2.72,3.02,2.75,2.87,3.14,2.71,Brasileirão Serie A,,20180923_Vitoria_Botafogo-RJ,-0.8551634821785683,0.81,1.43,3,4,7,9,45.4,54.6,0,1,0,0,5,4
2018-09-25,Chapecoense-SC,Fluminense,1.0,2.0,2.21,3.04,3.57,2.28,3.07,3.67,Brasileirão Serie A,,20180925_Chapecoense-SC_Fluminense,2.4919913939411344,1.59,1.42,5,8,8,19,46.0,54.0,1,3,0,0,6,5
2018-09-25,Vasco,Bahia,2.0,1.0,2.05,3.24,3.79,2.06,3.44,3.84,Brasileirão Serie A,,20180925_Vasco_Bahia,-13.135179996825627,0.48,1.72,2,6,8,13,53.2,46.8,2,1,0,0,3,6
2018-09-28,Santos,Vasco,1.0,1.0,1.47,3.95,7.66,1.51,3.95,8.22,Brasileirão Serie A,,20180928_Santos_Vasco,9.5454933719559,0.77,0.77,3,1,6,3,47.6,52.4,1,2,0,0,7,4
2018-09-29,America MG,Corinthians,0.0,0.0,2.35,2.87,3.44,2.41,2.98,3.56,Brasileirão Serie A,,20180929_America-MG_Corinthians,8.543591931399533,0.8,0.99,3,2,4,4,49.6,50.4,1,3,0,0,3,5
2018-09-29,Fluminense,Gremio,0.0,1.0,2.82,2.95,2.7,3.0,3.11,2.67,Brasileirão Serie A,,20180929_Fluminense_Gremio,-2.3379676665012994,0.05,0.68,2,2,7,5,43.1,56.9,2,1,0,0,6,4
2018-09-30,Atletico-MG,Sport Recife,5.0,2.0,1.35,4.69,9.09,1.35,4.86,10.67,Brasileirão Serie A,,20180930_Atletico-MG_Sport-Recife,33.52621128722626,1.62,1.92,5,5,10,13,51.3,48.7,2,2,0,0,4,10
2018-09-30,Bahia,Flamengo RJ,0.0,0.0,2.72,3.05,2.71,2.78,3.18,2.81,Brasileirão Serie A,,20180930_Bahia_Flamengo-RJ,-24.045844142831584,0.94,1.25,4,3,9,7,56.1,43.9,4,2,0,0,5,8
2018-09-30,Botafogo RJ,Sao Paulo,2.0,2.0,2.65,3.04,2.79,2.71,3.15,2.9,Brasileirão Serie A,,20180930_Botafogo-RJ_Sao-Paulo,12.028077175341423,1.68,1.52,7,5,14,13,50.5,49.5,1,1,0,0,8,6
2018-09-30,Ceara,Chapecoense-SC,3.0,1.0,2.08,2.98,4.07,2.13,3.01,4.31,Brasileirão Serie A,,20180930_Ceara_Chapecoense-SC,32.42128201749256,0.5,0.2,3,1,6,0,55.9,44.1,4,4,0,0,5,1
2018-09-30,Internacional,Vitoria,2.0,1.0,1.31,4.97,9.95,1.32,5.15,11.04,Brasileirão Serie A,,20180930_Internacional_Vitoria,21.284264844676727,0.77,1.11,5,5,8,9,53.7,46.3,2,2,0,0,7,5
2018-09-30,Palmeiras,Cruzeiro,3.0,1.0,1.58,3.59,6.57,1.61,3.67,6.86,Brasileirão Serie A,,20180930_Palmeiras_Cruzeiro,30.43281787037722,0.11,0.22,3,1,7,2,41.0,59.0,4,1,0,0,8,2
2018-09-30,Santos,Athletico-PR,1.0,0.0,1.93,3.23,4.23,1.96,3.32,4.52,Brasileirão Serie A,,20180930_Santos_Athletico-PR,-1.8592879106647615,1.0,1.22,2,3,4,7,52.1,47.9,3,1,0,0,3,4
2018-10-02,Parana,Vasco,1.0,1.0,2.89,2.91,2.65,2.96,3.04,2.75,Brasileirão Serie A,,20181002_Parana_Vasco,-35.95655148079163,0.8,1.32,2,5,3,10,48.5,51.5,2,2,0,0,8,6
2018-10-05,Sport Recife,Internacional,2.0,1.0,4.04,3.27,1.96,4.24,3.41,1.99,Brasileirão Serie A,,20181005_Sport-Recife_Internacional,-55.350038393384466,0.6,0.64,2,2,3,6,42.1,57.9,4,1,0,0,3,4
2018-10-06,Athletico-PR,America MG,4.0,0.0,1.44,4.06,7.94,1.46,4.31,8.18,Brasileirão Serie A,,20181006_Athletico-PR_America-MG,-11.000630877683989,1.41,0.85,5,2,12,5,47.0,53.0,0,2,0,0,8,2
2018-10-06,Chapecoense-SC,Atletico-MG,1.0,0.0,2.86,3.01,2.62,2.97,3.02,2.76,Brasileirão Serie A,,20181006_Chapecoense-SC_Atletico-MG,-42.15066288256389,1.19,1.05,4,1,11,2,46.1,53.9,1,2,0,0,4,1
2018-10-06,Corinthians,Flamengo RJ,0.0,3.0,2.95,2.87,2.64,3.06,2.94,2.75,Brasileirão Serie A,,20181006_Corinthians_Flamengo-RJ,-9.386871490700742,1.46,0.6,4,3,9,6,52.5,47.5,2,0,0,0,7,6
2018-10-06,Sao Paulo,Palmeiras,0.0,2.0,2.66,2.89,2.91,2.76,2.92,3.07,Brasileirão Serie A,,20181006_Sao-Paulo_Palmeiras,-53.33075687713017,0.44,1.51,0,4,0,9,50.1,49.9,1,1,0,0,2,2
2018-10-06,Vitoria,Santos,0.0,1.0,3.67,3.19,2.09,3.89,3.33,2.11,Brasileirão Serie A,,20181006_Vitoria_Santos,-33.826009897358745,0.05,1.52,1,4,4,10,42.6,57.4,1,1,0,1,2,5
2018-10-07,Gremio,Bahia,2.0,2.0,1.36,4.41,9.83,1.37,4.68,10.04,Brasileirão Serie A,,20181007_Gremio_Bahia,46.75004881725749,0.95,0.21,4,2,7,4,55.8,44.2,2,1,0,0,5,8
2018-10-09,Fluminense,Parana,4.0,0.0,1.5,3.72,7.67,1.53,3.67,8.78,Brasileirão Serie A,,20181009_Fluminense_Parana,44.02050056935104,2.24,0.52,7,0,14,0,50.0,50.0,0,2,0,0,9,4
2018-10-10,Botafogo RJ,Vasco,1.0,1.0,2.15,3.09,3.65,2.18,3.11,3.96,Brasileirão Serie A,,20181010_Botafogo-RJ_Vasco,24.008574988312148,1.29,1.57,5,4,10,8,42.1,57.9,0,0,0,0,8,4
2018-10-13,Flamengo RJ,Fluminense,3.0,0.0,1.69,3.53,5.35,1.7,3.65,5.7,Brasileirão Serie A,,20181013_Flamengo-RJ_Fluminense,3.002081394138031,1.33,0.09,4,0,8,0,53.3,46.7,2,1,0,0,3,1
2018-10-13,Santos,Corinthians,1.0,0.0,1.47,3.82,7.99,1.48,4.09,8.3,Brasileirão Serie A,,20181013_Santos_Corinthians,41.733291739421475,1.68,0.69,5,5,11,10,53.8,46.2,0,2,0,0,9,9
2018-10-14,Athletico-PR,Sport Recife,4.0,0.0,1.34,4.81,9.11,1.34,4.91,10.66,Brasileirão Serie A,,20181014_Athletico-PR_Sport-Recife,21.57517525775711,2.47,0.57,7,2,15,3,53.7,46.3,3,3,0,0,8,3
2018-10-14,Atletico-MG,America MG,0.0,0.0,1.55,3.87,6.21,1.59,3.95,6.47,Brasileirão Serie A,,20181014_Atletico-MG_America-MG,20.05685715733989,1.25,0.57,5,2,12,5,47.0,53.0,0,0,0,0,8,9
2018-10-14,Bahia,Parana,2.0,0.0,1.36,4.3,9.98,1.36,4.45,12.22,Brasileirão Serie A,,20181014_Bahia_Parana,35.53960498590732,1.01,1.1,3,2,6,4,52.3,47.7,1,0,0,0,7,4
2018-10-14,Chapecoense-SC,Vitoria,0.0,1.0,1.81,3.28,4.86,1.83,3.33,5.28,Brasileirão Serie A,,20181014_Chapecoense-SC_Vitoria,25.816699405169857,1.22,1.36,4,5,8,11,48.1,51.9,2,1,0,0,5,6
2018-10-14,Internacional,Sao Paulo,3.0,1.0,1.9,3.18,4.49,1.93,3.19,4.88,Brasileirão Serie A,,20181014_Internacional_Sao-Paulo,15.643408106924198,0.84,1.53,3,5,7,9,43.8,56.2,1,1,0,0,10,3
2018-10-14,Palmeiras,Gremio,2.0,0.0,1.91,3.05,4.73,1.94,3.06,5.21,Brasileirão Serie A,,20181014_Palmeiras_Gremio,41.203781129450135,1.5,2.1,5,9,11,19,59.6,40.4,4,1,0,0,5,11
2018-10-14,Vasco,Cruzeiro,2.0,0.0,2.16,3.07,3.61,2.22,3.15,3.81,Brasileirão Serie A,,20181014_Vasco_Cruzeiro,-12.977930351082705,1.68,0.11,5,0,11,0,52.8,47.2,3,0,0,0,7,2
2018-10-16,Ceara,Botafogo RJ,0.0,0.0,2.09,3.16,3.7,2.11,3.28,3.95,Brasileirão Serie A,,20181016_Ceara_Botafogo-RJ,20.902078455599167,0.63,1.4,2,4,4,9,45.8,54.2,2,1,0,0,5,3
2018-10-20,America MG,Gremio,1.0,1.0,2.73,2.92,2.83,2.8,3.03,2.91,Brasileirão Serie A,,20181020_America-MG_Gremio,-25.29524651186398,1.15,0.54,4,1,9,4,51.3,48.7,1,0,0,0,1,5
2018-10-20,Botafogo RJ,Bahia,0.0,1.0,2.29,2.98,3.47,2.41,2.95,3.61,Brasileirão Serie A,,20181020_Botafogo-RJ_Bahia,21.554614361305312,0.05,1.56,0,5,0,13,52.6,47.4,3,1,0,0,1,9
