date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-08-31,Horsens,Vejle,0.0,0.0,2.47,3.12,2.99,2.51,3.18,3.12,Superliga,,20180831_Horsens_Vejle,0.0,0.05,0.6,0,2,0,4,49.7,50.3,2,2,0,0,0,3
2018-09-01,Sonderjyske,Hobro,1.0,1.0,2.05,3.4,3.69,2.11,3.41,3.76,Superliga,,20180901_Sonderjyske_Hobro,0.0,0.56,2.24,2,7,4,14,46.4,53.6,1,2,0,1,0,10
2018-09-02,Aarhus,Vendsyssel,1.0,1.0,1.62,4.0,5.26,1.65,4.2,5.27,Superliga,,20180902_Aarhus_Vendsyssel,0.0,1.76,0.46,5,1,9,1,54.6,45.4,2,4,0,0,6,4
2018-09-02,Brondby,Midtjylland,2.0,2.0,2.03,3.63,3.49,2.08,3.66,3.58,Superliga,,20180902_Brondby_Midtjylland,0.0,0.32,1.66,2,6,5,14,42.4,57.6,4,2,0,0,2,9
2018-09-02,Esbjerg,FC Copenhagen,0.0,2.0,6.08,4.08,1.54,7.03,4.21,1.53,Superliga,,20180902_Esbjerg_FC-Copenhagen,0.0,0.97,1.19,3,4,6,9,50.6,49.4,3,1,0,0,3,6
2018-09-02,Odense,Nordsjaelland,0.0,0.0,1.97,3.71,3.55,1.97,3.94,3.67,Superliga,,20180902_Odense_Nordsjaelland,0.0,1.64,1.21,5,3,11,6,43.8,56.2,1,0,0,0,4,5
2018-09-02,Randers FC,Aalborg,2.0,2.0,2.43,3.12,3.07,2.47,3.17,3.2,Superliga,,20180902_Randers-FC_Aalborg,0.0,2.2,1.72,6,5,11,9,44.6,55.4,2,4,0,0,4,4
2018-09-14,Esbjerg,Odense,2.0,0.0,3.41,3.41,2.13,3.55,3.48,2.14,Superliga,,20180914_Esbjerg_Odense,-12.0,1.59,0.3,5,2,9,4,47.1,52.9,2,1,0,0,7,7
2018-09-15,Nordsjaelland,Randers FC,4.0,1.0,1.93,3.67,3.77,1.95,3.87,3.82,Superliga,,20180915_Nordsjaelland_Randers-FC,0.0,2.17,1.19,5,3,10,8,56.2,43.8,4,0,0,0,3,5
2018-09-16,Brondby,Sonderjyske,2.0,4.0,1.39,4.87,7.49,1.41,5.02,7.54,Superliga,,20180916_Brondby_Sonderjyske,0.0,1.36,1.55,5,7,9,16,51.7,48.3,0,1,0,0,10,6
2018-09-16,Horsens,Aarhus,3.0,2.0,3.07,3.09,2.46,3.13,3.2,2.48,Superliga,,20180916_Horsens_Aarhus,0.0,1.3,0.67,6,2,13,6,48.2,51.8,0,1,0,0,6,3
2018-09-16,Midtjylland,FC Copenhagen,3.0,1.0,2.92,3.51,2.34,2.94,3.74,2.34,Superliga,,20180916_Midtjylland_FC-Copenhagen,-12.0,1.3,1.16,5,4,10,8,51.6,48.4,0,1,0,0,7,5
2018-09-16,Vendsyssel,Hobro,1.0,1.0,2.31,3.37,3.05,2.41,3.47,3.02,Superliga,,20180916_Vendsyssel_Hobro,0.0,1.69,1.01,4,2,9,5,45.3,54.7,3,5,0,0,5,3
2018-09-17,Aalborg,Vejle,1.0,1.0,2.05,3.23,3.82,2.15,3.17,3.89,Superliga,,20180917_Aalborg_Vejle,0.0,1.77,0.55,5,1,10,4,59.1,40.9,2,4,0,0,5,3
2018-09-21,Vejle,Esbjerg,1.0,0.0,2.34,3.22,3.14,2.37,3.26,3.25,Superliga,,20180921_Vejle_Esbjerg,-0.4143005863770668,1.89,1.06,7,4,15,7,51.3,48.7,2,2,0,0,7,5
2018-09-22,Randers FC,Vendsyssel,2.0,0.0,1.72,3.77,4.78,1.72,3.94,4.98,Superliga,,20180922_Randers-FC_Vendsyssel,-12.0,0.58,0.51,2,1,5,4,44.4,55.6,1,1,0,0,5,5
2018-09-23,Aarhus,Brondby,3.0,2.0,3.5,3.72,1.99,3.74,3.76,1.99,Superliga,,20180923_Aarhus_Brondby,0.0,0.99,2.9,3,10,6,20,51.9,48.1,0,2,0,0,4,9
2018-09-23,FC Copenhagen,Nordsjaelland,2.0,1.0,1.46,4.59,6.5,1.46,4.7,6.98,Superliga,,20180923_FC-Copenhagen_Nordsjaelland,-12.414300586377067,1.7,2.02,4,6,11,13,45.5,54.5,0,3,0,0,4,10
