date,home_team,away_team,home_goals,away_goals,sede_ciudad,sede_pais,sede_nombre,odd_home,odd_draw,odd_away,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2021-07-10 22:00:00,Barcelona SC,Emelec,1.0,1.0,Quito,Ecuador,Estadio Banco Pichincha,,,,LigaPro Serie A,,20210710_Barcelona-SC_Emelec,0.0,1.99,0.71,5,3,8,5,52.0,48.0,2,0,0,0,3,3
2021-07-10 22:00:00,Independiente del Valle,Universidad Católica (Quito),2.0,3.0,Quito,Ecuador,Estadio Banco Guayaquil,,,,LigaPro Serie A,,20210710_Independiente-del-Valle_Universidad-Católica-(Quito),0.0,1.44,1.81,5,7,10,14,48.4,51.6,0,1,1,0,6,7
2021-07-17 00:00:00,Técnico Universitario,Liga de Quito,0.0,1.0,Ambato,Ecuador,Estadio Universidad Indoamérica Bellavista,,,,LigaPro Serie A,,20210717_Técnico-Universitario_Liga-de-Quito,0.0,1.46,1.08,4,4,8,9,52.6,47.4,2,2,0,0,6,4
2021-07-17 17:30:00,Mushuc Runa,Delfín,6.0,1.0,Ambato,Ecuador,Cooperativa de Ahorro y Crédito Mushuc Runa,,,,LigaPro Serie A,,20210717_Mushuc-Runa_Delfín,0.0,2.57,1.22,6,5,13,11,51.5,48.5,3,3,0,0,2,11
2021-07-17 20:00:00,Orense,Olmedo,0.0,0.0,Machala,Ecuador,9 de Mayo,,,,LigaPro Serie A,,20210717_Orense_Olmedo,0.0,1.49,0.33,5,1,11,1,50.5,49.5,1,3,0,0,8,3
2021-07-17 22:30:00,Aucas,Guayaquil City FC,3.0,0.0,Quito,Ecuador,Estadio Cooprogreso Gonzalo Pozo Ripalda,,,,LigaPro Serie A,,20210717_Aucas_Guayaquil-City-FC,0.0,1.24,0.93,4,2,7,4,48.4,51.6,1,1,0,0,5,4
2021-07-18 01:00:00,Independiente del Valle,Deportivo Cuenca,0.0,0.0,Quito,Ecuador,Estadio Banco Guayaquil,,,,LigaPro Serie A,,20210718_Independiente-del-Valle_Deportivo-Cuenca,-12.0,0.8,0.98,2,2,4,3,44.5,55.5,2,1,0,0,5,6
2021-07-18 20:30:00,Barcelona SC,Macará,3.0,0.0,Quito,Ecuador,Estadio Banco Pichincha,,,,LigaPro Serie A,,20210718_Barcelona-SC_Macará,0.0,0.87,1.17,3,3,7,8,44.5,55.5,2,4,0,1,6,7
2021-07-18 20:30:00,Manta F.C.,Emelec,0.0,4.0,Manta,Ecuador,Estadio Jocay,,,,LigaPro Serie A,,20210718_Manta-F.C._Emelec,0.0,1.45,1.49,5,4,11,8,53.8,46.2,1,4,0,0,10,3
2021-07-20 00:00:00,9 de Octubre,Universidad Católica (Quito),1.0,0.0,Quito,Ecuador,Estadio Alberto Spencer,,,,LigaPro Serie A,,20210720_9-de-Octubre_Universidad-Católica-(Quito),-12.0,1.47,0.65,6,3,12,7,50.1,49.9,1,3,0,0,5,8
2021-07-24 00:00:00,Aucas,Mushuc Runa,1.0,1.0,Quito,Ecuador,Estadio Cooprogreso Gonzalo Pozo Ripalda,,,,LigaPro Serie A,,20210724_Aucas_Mushuc-Runa,0.0,0.74,1.04,2,3,6,6,51.4,48.6,2,1,0,0,2,4
2021-07-24 20:00:00,Olmedo,Universidad Católica (Quito),0.0,3.0,Riobamba,Ecuador,Estadio Fernando Guerrero Guerrero,,,,LigaPro Serie A,,20210724_Olmedo_Universidad-Católica-(Quito),0.4143005863770668,1.24,0.69,4,3,8,7,50.7,49.3,0,2,0,0,3,10
2021-07-24 22:30:00,Macará,Guayaquil City FC,0.0,2.0,Ambato,Ecuador,Estadio Universidad Indoamérica Bellavista,,,,LigaPro Serie A,,20210724_Macará_Guayaquil-City-FC,0.0,1.03,1.55,3,5,8,11,54.4,45.6,1,1,0,0,4,5
2021-07-25 01:00:00,Deportivo Cuenca,Emelec,0.0,1.0,Cuenca,Ecuador,Banco del Austro Alejandro Serrano Aguil,,,,LigaPro Serie A,,20210725_Deportivo-Cuenca_Emelec,-12.414300586377067,0.05,1.3,0,4,0,9,50.5,49.5,1,0,0,0,2,6
2021-07-25 19:00:00,Independiente del Valle,Orense,3.0,2.0,Quito,Ecuador,Estadio Banco Guayaquil,,,,LigaPro Serie A,,20210725_Independiente-del-Valle_Orense,-11.585699413622933,0.85,0.83,3,3,6,8,51.8,48.2,3,1,0,0,2,3
2021-07-25 21:30:00,9 de Octubre,Liga de Quito,4.0,1.0,Quito,Ecuador,Estadio Alberto Spencer,,,,LigaPro Serie A,,20210725_9-de-Octubre_Liga-de-Quito,0.4143005863770668,1.31,1.65,5,7,10,16,48.6,51.4,1,3,0,0,4,7
