date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-07-21,Honka,TPS,2,0,1.61,3.89,5.38,1.63,4.11,5.64,Veikkausliiga,,20180721_Honka_TPS,0.0,1.6,1.4,5,4,11,9,53.2,46.8,1,1,0,0,2,4
2018-07-21,Rovaniemi,SJK,1,0,2.33,3.09,3.2,2.41,3.16,3.31,Veikkausliiga,,20180721_Rovaniemi_SJK,0.0,0.86,1.18,2,4,5,8,52.9,47.1,2,2,0,0,2,3
2018-07-22,Ilves,PS Kemi,2,0,1.6,3.68,5.91,1.64,3.73,6.5,Veikkausliiga,,20180722_Ilves_PS-Kemi,0.0,0.69,0.93,2,4,3,10,46.1,53.9,0,0,0,0,2,3
2018-07-22,KuPS,VPS,1,2,1.87,3.5,4.12,1.9,3.66,4.28,Veikkausliiga,,20180722_KuPS_VPS,0.0,0.65,1.3,3,6,6,12,47.0,53.0,1,1,0,0,7,4
2018-07-22,Lahti,Mariehamn,2,0,1.75,3.61,4.61,1.78,3.77,4.91,Veikkausliiga,,20180722_Lahti_Mariehamn,0.0,1.94,0.77,6,2,12,3,50.2,49.8,1,1,0,0,3,3
2018-07-26,Rovaniemi,Inter Turku,0,1,2.22,3.24,3.27,2.26,3.37,3.39,Veikkausliiga,,20180726_Rovaniemi_Inter-Turku,12.0,0.79,0.86,3,3,8,6,44.2,55.8,2,1,0,0,7,5
2018-07-28,Honka,HJK,1,2,3.46,3.35,2.1,3.67,3.53,2.09,Veikkausliiga,,20180728_Honka_HJK,12.0,1.0,1.18,5,4,11,9,55.4,44.6,4,1,0,0,6,5
2018-07-29,Mariehamn,SJK,1,0,2.39,3.18,3.02,2.43,3.25,3.18,Veikkausliiga,,20180729_Mariehamn_SJK,0.0,1.24,0.41,4,1,11,3,45.6,54.4,1,2,0,0,7,3
2018-07-29,PS Kemi,KuPS,3,2,7.26,4.45,1.42,7.87,4.7,1.44,Veikkausliiga,,20180729_PS-Kemi_KuPS,0.0,1.2,0.4,4,2,6,4,47.6,52.4,4,2,0,0,5,6
2018-07-30,TPS,Ilves,1,3,2.71,3.04,2.73,2.76,3.1,2.87,Veikkausliiga,,20180730_TPS_Ilves,-24.0,1.89,1.03,6,4,13,10,50.7,49.3,1,0,0,0,4,4
2018-07-30,VPS,Lahti,2,2,2.61,3.02,2.87,2.76,3.11,2.86,Veikkausliiga,,20180730_VPS_Lahti,0.0,0.77,0.94,3,4,8,10,52.1,47.9,0,0,0,0,4,5
2018-08-03,SJK,VPS,0,0,2.58,3.0,2.92,2.68,3.05,3.02,Veikkausliiga,,20180803_SJK_VPS,-36.0,1.24,0.33,5,0,11,0,45.2,54.8,1,4,0,0,7,2
2018-08-04,HJK,Rovaniemi,2,2,1.46,4.11,7.39,1.45,4.41,8.54,Veikkausliiga,,20180804_HJK_Rovaniemi,12.828601172754134,1.56,0.12,5,2,9,4,49.3,50.7,2,3,0,0,4,1
2018-08-04,Inter Turku,Mariehamn,3,0,1.94,3.48,3.87,1.96,3.58,4.11,Veikkausliiga,,20180804_Inter-Turku_Mariehamn,12.414300586377067,1.93,0.37,6,1,14,3,45.7,54.3,2,4,0,0,5,1
2018-08-05,Ilves,Honka,3,3,2.77,3.15,2.6,2.85,3.3,2.64,Veikkausliiga,,20180805_Ilves_Honka,23.586685912933035,0.91,1.03,3,3,4,7,54.7,45.3,0,1,0,0,5,3
2018-08-05,KuPS,TPS,3,2,1.51,4.22,6.08,1.52,4.47,6.57,Veikkausliiga,,20180805_KuPS_TPS,-0.8276146734440317,1.63,0.8,4,2,8,4,42.6,57.4,2,0,0,0,7,10
2018-08-05,Lahti,PS Kemi,1,1,1.39,4.56,7.9,1.41,4.63,9.2,Veikkausliiga,,20180805_Lahti_PS-Kemi,12.0,1.4,1.77,4,5,11,9,58.6,41.4,0,1,0,0,3,4
2018-08-11,Honka,TPS,3,0,1.56,3.97,5.88,1.57,4.14,6.5,Veikkausliiga,,20180811_Honka_TPS,35.60007553758419,1.33,0.32,5,1,9,2,46.3,53.7,0,3,0,0,3,3
2018-08-11,VPS,SJK,0,2,2.28,3.07,3.38,2.35,3.14,3.46,Veikkausliiga,,20180811_VPS_SJK,33.52206972907379,0.6,1.72,3,4,6,9,47.7,52.3,0,2,0,0,3,8
2018-08-12,KuPS,PS Kemi,3,1,1.28,5.73,9.68,1.29,6.06,10.86,Veikkausliiga,,20180812_KuPS_PS-Kemi,-12.38571584229544,0.86,2.17,6,6,12,12,46.6,53.4,4,4,0,0,6,6
2018-08-12,Lahti,Inter Turku,0,0,2.02,3.41,3.67,2.04,3.51,3.86,Veikkausliiga,,20180812_Lahti_Inter-Turku,-12.40000880276989,0.05,1.17,0,1,1,1,53.7,46.3,1,2,0,0,1,3
2018-08-12,Rovaniemi,Mariehamn,1,0,1.88,3.4,4.26,1.88,3.48,4.65,Veikkausliiga,,20180812_Rovaniemi_Mariehamn,11.599989979917382,0.51,1.58,1,5,2,11,51.2,48.8,0,2,0,0,1,3
2018-08-17,TPS,VPS,4,1,2.53,3.13,2.88,2.61,3.25,2.92,Veikkausliiga,,20180817_TPS_VPS,-43.58247524702642,1.9,0.74,6,3,13,6,53.7,46.3,2,2,0,0,7,5
2018-08-18,Inter Turku,KuPS,0,1,2.82,3.42,2.4,2.85,3.57,2.49,Veikkausliiga,,20180818_Inter-Turku_KuPS,23.101417749673146,0.62,1.33,2,3,6,7,48.2,51.8,1,0,1,0,0,3
2018-08-19,HJK,PS Kemi,0,0,1.14,7.74,17.32,1.15,8.63,20.46,Veikkausliiga,,20180819_HJK_PS-Kemi,23.984723408137597,1.06,0.99,4,2,9,3,47.9,52.1,2,4,0,0,6,3
2018-08-19,Mariehamn,Honka,0,0,4.33,3.73,1.78,4.61,3.81,1.81,Veikkausliiga,,20180819_Mariehamn_Honka,-34.344714580814525,0.96,0.45,5,1,11,3,44.1,55.9,2,1,0,0,5,2
2018-08-20,Lahti,Rovaniemi,1,2,2.24,3.1,3.41,2.18,3.29,3.71,Veikkausliiga,,20180820_Lahti_Rovaniemi,0.38571709744974214,1.21,1.59,3,5,7,11,50.1,49.9,3,0,0,0,2,3
2018-08-20,SJK,Ilves,2,3,2.33,3.05,3.27,2.37,3.14,3.42,Veikkausliiga,,20180820_SJK_Ilves,-31.965782310262284,0.9,1.67,3,5,6,11,44.4,55.6,1,2,0,0,4,7
2018-08-24,VPS,Mariehamn,1,1,2.11,3.21,3.64,2.15,3.28,3.8,Veikkausliiga,,20180824_VPS_Mariehamn,6.09789499876797,1.26,2.45,4,9,8,20,49.5,50.5,0,0,0,0,8,16
2018-08-25,Honka,Lahti,2,0,1.79,3.6,4.43,1.81,3.74,4.72,Veikkausliiga,,20180825_Honka_Lahti,9.990955364850379,1.26,0.24,5,0,9,1,50.7,49.3,1,0,0,0,8,2
2018-08-25,Ilves,TPS,2,0,1.97,3.35,3.91,2.03,3.3,4.2,Veikkausliiga,,20180825_Ilves_TPS,65.7362578430334,1.7,0.93,5,4,12,8,51.0,49.0,5,1,0,0,6,8
2018-08-25,Inter Turku,Rovaniemi,0,0,2.58,3.2,2.73,2.64,3.47,2.74,Veikkausliiga,,20180825_Inter-Turku_Rovaniemi,-12.880515972187823,1.0,0.89,3,2,4,6,49.1,50.9,0,1,0,0,3,5
2018-08-25,PS Kemi,SJK,0,0,3.45,3.25,2.15,3.57,3.37,2.19,Veikkausliiga,,20180825_PS-Kemi_SJK,9.319632557641853,0.91,0.05,3,1,6,3,51.2,48.8,1,0,0,0,2,6
2018-08-26,KuPS,HJK,0,1,3.26,3.35,2.2,3.37,3.44,2.24,Veikkausliiga,,20180826_KuPS_HJK,2.1085839100492194,0.73,0.85,1,4,4,8,48.2,51.8,2,1,0,1,4,7
2018-08-29,Ilves,Mariehamn,1,2,1.73,3.59,4.88,1.76,3.66,5.21,Veikkausliiga,,20180829_Ilves_Mariehamn,64.79222449657277,1.36,1.34,3,5,9,9,55.0,45.0,2,1,0,0,6,5
