date,home_team,away_team,home_goals,away_goals,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_corners,away_corners,home_yellow,away_yellow,home_red,away_red,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,referee,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_possession,away_possession
2023-08-18,Volos NFC,Lamia,2,2,4.0,8.0,4.0,5.0,7.0,0.0,3.0,2.0,0.0,0.0,2.45,3.1,3.2,2.52,3.04,3.14,,Super League,,20230818_Volos-NFC_Lamia,0.0,1.69,0.38,44.1,55.9
2023-08-20,Giannina,Kifisia,3,0,7.0,0.0,3.0,4.0,7.0,2.0,3.0,4.0,1.0,0.0,2.25,3.1,3.5,2.05,3.09,4.26,,Super League,,20230820_Giannina_Kifisia,0.0,0.96,0.08,55.0,45.0
2023-08-20,OFI Crete,Aris,3,2,4.0,7.0,9.0,9.0,3.0,4.0,5.0,3.0,0.0,0.0,2.4,3.4,3.0,2.9,3.24,2.56,,Super League,,20230820_OFI-Crete_Aris,0.0,1.71,0.63,53.1,46.9
2023-08-20,Olympiakos,Panserraikos,2,0,3.0,2.0,26.0,3.0,8.0,3.0,3.0,0.0,0.0,1.0,1.18,6.5,19.0,1.16,7.25,20.53,,Super League,,20230820_Olympiakos_Panserraikos,0.0,1.91,1.17,50.3,49.7
2023-08-20,PAOK,Asteras Tripolis,3,0,6.0,2.0,7.0,7.0,3.0,1.0,2.0,1.0,0.0,0.0,1.3,5.0,12.0,1.34,4.98,9.75,,Super League,,20230820_PAOK_Asteras-Tripolis,0.0,0.36,1.25,43.9,56.1
2023-08-25,Panetolikos,Giannina,0,0,7.0,2.0,10.0,6.0,2.0,3.0,1.0,4.0,0.0,0.0,2.45,3.1,3.1,2.51,2.93,3.3,,Super League,,20230825_Panetolikos_Giannina,-12.0,0.05,0.32,45.3,54.7
2023-08-26,AEK,Panserraikos,1,1,10.0,4.0,19.0,3.0,12.0,1.0,1.0,6.0,0.0,0.0,1.17,7.5,15.0,1.16,7.72,15.41,,Super League,,20230826_AEK_Panserraikos,12.0,0.25,0.71,56.0,44.0
2023-08-26,Asteras Tripolis,OFI Crete,3,0,4.0,6.0,8.0,10.0,3.0,4.0,1.0,3.0,0.0,0.0,2.3,3.2,3.3,2.33,2.97,3.6,,Super League,,20230826_Asteras-Tripolis_OFI-Crete,-24.0,1.79,0.27,53.7,46.3
2023-08-26,Panathinaikos,Volos NFC,3,0,8.0,3.0,6.0,2.0,6.0,1.0,1.0,3.0,0.0,0.0,1.29,5.0,13.0,1.26,6.18,10.2,,Super League,,20230826_Panathinaikos_Volos-NFC,0.0,2.13,0.31,44.3,55.7
2023-08-27,Lamia,Aris,1,0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,0.0,3.6,3.25,2.1,3.65,3.09,2.24,,Super League,,20230827_Lamia_Aris,12.0,1.36,1.89,52.9,47.1
2023-08-27,Olympiakos,Atromitos,4,0,9.0,1.0,15.0,2.0,5.0,2.0,1.0,5.0,0.0,1.0,1.29,5.5,10.0,1.31,5.13,10.89,,Super League,,20230827_Olympiakos_Atromitos,12.0,1.34,1.89,52.5,47.5
2023-08-27,PAOK,Kifisia,2,1,8.0,3.0,11.0,3.0,8.0,5.0,1.0,5.0,0.0,0.0,1.2,6.0,17.0,1.34,4.87,10.05,,Super League,,20230827_PAOK_Kifisia,24.0,0.66,1.01,46.1,53.9
2023-09-01,Kifisia,Atromitos,2,1,7.0,9.0,7.0,4.0,5.0,8.0,3.0,1.0,0.0,1.0,2.63,3.3,2.7,2.73,3.08,2.83,,Super League,,20230901_Kifisia_Atromitos,-11.586685912933035,1.95,1.49,54.6,45.4
2023-09-02,Panserraikos,Panetolikos,1,1,3.0,4.0,11.0,4.0,4.0,6.0,3.0,1.0,0.0,0.0,2.3,3.4,3.1,2.29,3.08,3.52,,Super League,,20230902_Panserraikos_Panetolikos,-12.0,1.16,1.09,45.7,54.3
2023-09-03,Aris,Asteras Tripolis,3,2,6.0,4.0,4.0,0.0,3.0,5.0,1.0,3.0,0.0,0.0,1.53,3.8,7.0,1.57,3.75,6.83,,Super League,,20230903_Aris_Asteras-Tripolis,-24.413314087066965,1.95,1.17,52.1,47.9
2023-09-03,Giannina,Panathinaikos,0,1,4.0,2.0,7.0,9.0,2.0,8.0,6.0,2.0,0.0,0.0,6.0,3.75,1.62,5.61,3.46,1.72,,Super League,,20230903_Giannina_Panathinaikos,-0.4143005863770668,0.22,0.9,43.1,56.9
2023-09-03,OFI Crete,PAOK,1,0,2.0,4.0,5.0,8.0,1.0,5.0,4.0,5.0,0.0,0.0,5.5,3.75,1.67,4.54,3.86,1.76,,Super League,,20230903_OFI-Crete_PAOK,-24.0,1.67,0.25,45.3,54.7
2023-09-03,Olympiakos,Lamia,4,0,8.0,3.0,9.0,5.0,5.0,2.0,2.0,3.0,0.0,0.0,1.3,5.5,10.0,1.2,6.34,15.68,,Super League,,20230903_Olympiakos_Lamia,12.0,1.21,0.72,43.0,57.0
2023-09-03,Volos NFC,AEK,2,3,5.0,7.0,2.0,4.0,3.0,8.0,4.0,1.0,0.0,1.0,12.0,6.0,1.25,12.4,6.01,1.24,,Super League,,20230903_Volos-NFC_AEK,-11.585699413622933,1.24,2.09,48.6,51.4
2023-09-16,Lamia,OFI Crete,2,2,2.0,4.0,5.0,8.0,6.0,7.0,1.0,3.0,0.0,0.0,2.75,3.25,2.7,2.5,3.16,3.06,,Super League,,20230916_Lamia_OFI-Crete,-12.0,1.34,0.41,49.2,50.8
2023-09-16,Panetolikos,Panathinaikos,0,5,4.0,10.0,7.0,8.0,3.0,6.0,2.0,1.0,0.0,0.0,8.0,4.0,1.5,7.39,4.06,1.5,,Super League,,20230916_Panetolikos_Panathinaikos,-23.98569057146915,1.62,2.2,59.0,41.0
2023-09-17,AEK,Olympiakos,1,1,4.0,3.0,5.0,4.0,5.0,5.0,2.0,4.0,0.0,0.0,2.2,3.4,3.3,2.18,3.22,3.62,,Super League,,20230917_AEK_Olympiakos,-23.985707039573754,1.41,0.65,47.5,52.5
2023-09-17,Asteras Tripolis,Giannina,2,2,4.0,6.0,6.0,1.0,8.0,1.0,2.0,3.0,0.0,0.0,2.1,3.2,3.8,2.2,2.97,3.94,,Super League,,20230917_Asteras-Tripolis_Giannina,-11.614215130970024,1.06,0.48,46.8,53.2
2023-09-17,Kifisia,Panserraikos,4,4,6.0,4.0,13.0,5.0,3.0,3.0,3.0,5.0,0.0,1.0,2.05,3.4,3.6,2.22,3.09,3.7,,Super League,,20230917_Kifisia_Panserraikos,0.39905516125691065,1.94,1.73,49.2,50.8
2023-09-17,PAOK,Aris,0,0,3.0,4.0,7.0,4.0,7.0,1.0,4.0,3.0,0.0,0.0,1.53,3.8,7.0,1.62,3.74,6.13,,Super League,,20230917_PAOK_Aris,21.088649104474598,0.41,0.61,47.4,52.6
2023-09-18,Atromitos,Volos NFC,1,1,1.0,1.0,7.0,9.0,4.0,1.0,3.0,2.0,0.0,0.0,1.8,3.6,4.5,1.81,3.74,4.43,,Super League,,20230918_Atromitos_Volos-NFC,-0.38574870014076623,0.56,0.05,52.6,47.4
2023-09-23,OFI Crete,Atromitos,1,1,5.0,4.0,11.0,5.0,8.0,4.0,3.0,4.0,0.0,0.0,2.1,3.2,3.8,2.01,3.33,4.04,,Super League,,20230923_OFI-Crete_Atromitos,35.55811720518864,1.36,0.05,49.3,50.7
2023-09-23,Panserraikos,Lamia,2,0,7.0,1.0,7.0,3.0,3.0,1.0,1.0,2.0,0.0,0.0,2.3,3.2,3.3,2.59,2.96,3.13,,Super League,,20230923_Panserraikos_Lamia,-11.57191654269991,0.94,1.18,54.0,46.0
2023-09-24,Aris,Panetolikos,3,0,6.0,3.0,8.0,2.0,6.0,5.0,0.0,2.0,0.0,0.0,1.5,4.0,7.0,1.39,4.53,8.91,,Super League,,20230924_Aris_Panetolikos,1.1564817018154372,1.87,0.61,54.3,45.7
2023-09-24,Giannina,PAOK,1,3,3.0,5.0,7.0,5.0,8.0,6.0,4.0,2.0,0.0,0.0,5.75,3.6,1.67,5.53,3.84,1.65,,Super League,,20230924_Giannina_PAOK,-10.418270291914723,1.36,1.53,49.1,50.9
2023-09-24,Olympiakos,Kifisia,4,0,7.0,2.0,6.0,6.0,7.0,1.0,1.0,2.0,0.0,0.0,1.17,8.0,15.0,1.15,8.04,18.86,,Super League,,20230924_Olympiakos_Kifisia,45.130402005337146,1.11,1.34,50.3,49.7
2023-09-24,Volos NFC,Asteras Tripolis,1,2,7.0,6.0,6.0,10.0,1.0,5.0,4.0,3.0,0.0,0.0,2.7,3.2,2.7,3.02,3.01,2.63,,Super League,,20230924_Volos-NFC_Asteras-Tripolis,-12.000100794726677,1.63,1.56,50.6,49.4
2023-09-25,Panathinaikos,AEK,1,2,5.0,4.0,5.0,11.0,6.0,6.0,3.0,4.0,0.0,0.0,2.3,3.2,3.3,2.45,3.04,3.27,,Super League,,20230925_Panathinaikos_AEK,23.14575263224151,1.3,1.67,48.0,52.0
2023-09-27,Kifisia,Lamia,1,1,4.0,4.0,13.0,4.0,6.0,8.0,4.0,3.0,1.0,0.0,2.3,3.1,3.3,2.02,3.29,4.05,,Super League,,20230927_Kifisia_Lamia,-9.250854254091792,0.52,1.15,49.5,50.5
2023-09-27,Olympiakos,Aris,4,1,5.0,1.0,15.0,6.0,8.0,1.0,2.0,0.0,0.0,0.0,1.4,4.2,9.5,1.43,4.3,8.34,,Super League,,20230927_Olympiakos_Aris,42.85057353084403,2.57,0.4,56.0,44.0
2023-09-27,PAOK,Volos NFC,3,0,10.0,2.0,7.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,1.2,7.5,12.0,1.17,7.55,15.26,,Super League,,20230927_PAOK_Volos-NFC,56.4565728044538,1.35,0.05,49.3,50.7
2023-09-27,Panetolikos,OFI Crete,1,1,6.0,10.0,12.0,11.0,3.0,7.0,2.0,2.0,0.0,0.0,3.1,3.1,2.45,3.28,3.3,2.29,,Super League,,20230927_Panetolikos_OFI-Crete,-33.494769542642416,1.14,0.67,48.0,52.0
2023-09-28,AEK,Atromitos,2,1,8.0,2.0,10.0,3.0,6.0,1.0,2.0,4.0,1.0,0.0,1.17,7.0,17.0,1.17,7.32,16.81,,Super League,,20230928_AEK_Atromitos,47.55961460974481,1.67,1.5,52.0,48.0
2023-09-28,Asteras Tripolis,Panathinaikos,1,4,4.0,7.0,5.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,6.0,3.4,1.67,4.64,3.02,1.85,,Super League,,20230928_Asteras-Tripolis_Panathinaikos,-22.387841269686533,0.53,0.48,49.2,50.8
2023-09-28,Panserraikos,Giannina,3,2,6.0,3.0,6.0,3.0,4.0,4.0,5.0,3.0,0.0,1.0,2.2,3.2,3.5,2.42,2.98,3.38,,Super League,,20230928_Panserraikos_Giannina,13.683172243310764,1.34,1.29,57.2,42.8
2023-10-01,Aris,Kifisia,1,1,6.0,4.0,6.0,6.0,5.0,3.0,2.0,7.0,0.0,0.0,1.44,4.2,8.0,1.35,4.98,9.0,,Super League,,20231001_Aris_Kifisia,12.332856768486636,0.5,0.35,45.0,55.0
2023-10-01,Giannina,Olympiakos,0,3,0.0,9.0,5.0,16.0,2.0,6.0,3.0,2.0,0.0,0.0,8.0,4.33,1.44,9.94,4.97,1.34,,Super League,,20231001_Giannina_Olympiakos,-79.29058744994154,0.81,1.61,46.5,53.5
2023-10-01,Lamia,Panetolikos,1,0,3.0,1.0,4.0,12.0,2.0,5.0,2.0,4.0,0.0,0.0,1.91,3.3,4.33,1.94,3.33,4.32,,Super League,,20231001_Lamia_Panetolikos,9.674967036703947,0.49,0.94,52.7,47.3
2023-10-01,Panathinaikos,PAOK,2,2,13.0,2.0,9.0,3.0,7.0,2.0,2.0,4.0,0.0,0.0,1.91,3.3,4.33,2.1,3.17,3.95,,Super League,,20231001_Panathinaikos_PAOK,2.2635387286218247,1.73,1.11,47.5,52.5
2023-10-02,Atromitos,Asteras Tripolis,0,0,1.0,4.0,7.0,4.0,4.0,5.0,1.0,5.0,1.0,0.0,2.25,3.1,3.5,2.05,3.15,4.16,,Super League,,20231002_Atromitos_Asteras-Tripolis,-21.86074819300461,0.58,0.87,51.0,49.0
2023-10-02,OFI Crete,AEK,2,0,5.0,4.0,2.0,10.0,2.0,4.0,4.0,3.0,0.0,0.0,7.0,3.8,1.53,5.18,4.23,1.61,,Super League,,20231002_OFI-Crete_AEK,-25.970055452710312,0.77,0.84,45.7,54.3
2023-10-08,AEK,Panetolikos,3,0,9.0,4.0,14.0,3.0,9.0,5.0,0.0,2.0,0.0,0.0,1.08,12.0,21.0,1.07,12.97,30.47,,Super League,,20231008_AEK_Panetolikos,55.928847434201316,1.36,1.08,45.6,54.4
2023-10-08,Panathinaikos,Atromitos,5,0,10.0,1.0,4.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,1.25,5.5,15.0,1.34,4.94,9.72,,Super League,,20231008_Panathinaikos_Atromitos,65.87200164540309,1.41,1.09,56.8,43.2
2023-10-20,Lamia,Giannina,2,1,7.0,2.0,8.0,10.0,4.0,3.0,3.0,3.0,0.0,0.0,2.2,3.0,3.75,2.21,2.89,4.07,,Super League,,20231020_Lamia_Giannina,32.63813061332553,1.67,1.64,52.5,47.5
2023-10-21,Aris,Panserraikos,1,0,6.0,2.0,14.0,3.0,8.0,2.0,3.0,6.0,0.0,0.0,1.44,4.2,7.5,1.49,4.2,7.11,,Super League,,20231021_Aris_Panserraikos,-21.779134591395177,0.59,0.95,47.3,52.7
