date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-07-13,Bohemians,Sligo Rovers,0,3,2.08,3.2,3.61,2.14,3.34,3.74,Premier Division,,20180713_Bohemians_Sligo-Rovers,0.0,0.23,1.0,2,4,4,8,49.8,50.2,0,3,0,0,4,8
2018-07-20,Bohemians,Bray,6,0,1.25,5.69,10.73,1.26,6.28,12.93,Premier Division,,20180720_Bohemians_Bray,-12.0,2.23,0.75,6,4,14,10,50.9,49.1,0,1,0,1,8,4
2018-07-20,St. Patricks,Limerick,2,1,1.32,5.03,8.62,1.32,5.63,10.33,Premier Division,,20180720_St.-Patricks_Limerick,0.0,1.13,1.26,3,7,6,14,54.8,45.2,1,2,0,1,6,6
2018-07-22,Waterford,Shamrock Rovers,0,1,2.67,3.03,2.72,2.72,3.18,2.85,Premier Division,,20180722_Waterford_Shamrock-Rovers,0.0,1.22,1.6,5,3,10,7,51.3,48.7,4,2,0,0,9,3
2018-07-23,Cork City,Derry City,5,0,1.43,4.38,7.05,1.43,4.75,8.12,Premier Division,,20180723_Cork-City_Derry-City,0.0,2.13,1.57,8,6,18,15,56.8,43.2,0,0,0,0,4,9
2018-07-27,Bray,Cork City,1,3,23.82,9.34,1.09,24.21,10.49,1.12,Premier Division,,20180727_Bray_Cork-City,-24.414300586377067,0.98,0.75,3,3,7,7,52.4,47.6,4,0,0,0,3,3
2018-07-27,Derry City,St. Patricks,2,1,2.73,3.61,2.34,2.82,3.92,2.36,Premier Division,,20180727_Derry-City_St.-Patricks,-24.0,1.58,0.51,4,3,10,4,51.6,48.4,2,1,0,0,4,7
2018-07-27,Limerick,Waterford,2,1,4.76,3.67,1.7,5.14,3.82,1.74,Premier Division,,20180727_Limerick_Waterford,0.0,1.38,0.75,5,2,9,3,53.8,46.2,2,0,0,0,6,0
2018-07-27,Shamrock Rovers,Sligo Rovers,2,0,1.59,3.57,6.17,1.6,3.77,7.02,Premier Division,,20180727_Shamrock-Rovers_Sligo-Rovers,0.0,0.93,0.32,3,1,5,3,41.0,59.0,1,1,0,1,10,2
2018-07-29,Dundalk,Bohemians,2,0,1.19,6.43,13.48,1.21,7.39,14.57,Premier Division,,20180729_Dundalk_Bohemians,-0.4143005863770668,1.24,0.35,3,2,8,5,45.0,55.0,2,2,0,0,3,2
2018-08-03,Bohemians,Limerick,5,0,1.63,3.75,5.19,1.66,3.9,5.73,Premier Division,,20180803_Bohemians_Limerick,-11.600008842153784,1.8,0.9,5,2,11,4,49.4,50.6,0,1,0,0,3,3
2018-08-03,Derry City,Sligo Rovers,1,2,2.23,3.33,3.09,2.34,3.37,3.25,Premier Division,,20180803_Derry-City_Sligo-Rovers,0.8276146734440317,0.97,0.5,3,2,6,4,57.2,42.8,3,5,0,0,3,2
2018-08-03,St. Patricks,Bray,3,0,1.14,7.87,17.05,1.15,8.96,20.01,Premier Division,,20180803_St.-Patricks_Bray,22.744831045880346,1.65,0.32,4,1,11,2,59.4,40.6,2,1,0,0,4,3
2018-08-03,Waterford,Cork City,1,2,4.89,3.58,1.71,5.2,3.79,1.74,Premier Division,,20180803_Waterford_Cork-City,-47.15814513294731,1.52,1.44,6,4,15,10,44.8,55.2,1,1,0,0,5,5
2018-08-17,Bray,Dundalk,1,3,28.27,12.22,1.05,27.13,12.76,1.09,Premier Division,,20180817_Bray_Dundalk,-46.802296832445336,0.73,1.68,3,5,7,11,48.9,51.1,1,2,0,0,5,5
