date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-09-16,Club America,Monarcas,2,1,1.53,4.32,5.5,1.55,4.58,5.74,Liga MX,,20180916_Club-America_Monarcas,0.0,0.31,1.02,2,4,4,10,51.0,49.0,1,1,0,0,3,8
2018-09-16,Monterrey,Guadalajara Chivas,2,4,1.57,3.91,5.71,1.59,4.18,5.95,Liga MX,,20180916_Monterrey_Guadalajara-Chivas,0.0,0.25,2.37,2,9,5,19,53.2,46.8,0,2,1,0,6,6
2018-09-16,Necaxa,Cruz Azul,2,0,2.89,3.19,2.44,3.04,3.29,2.47,Liga MX,,20180916_Necaxa_Cruz-Azul,0.0,1.04,0.05,4,0,9,0,50.2,49.8,1,3,0,0,4,1
2018-09-16,Pachuca,Tigres UANL,1,1,2.71,3.12,2.64,2.84,3.14,2.73,Liga MX,,20180916_Pachuca_Tigres-UANL,0.0,0.85,0.84,3,3,8,8,51.4,48.6,3,1,0,0,2,4
2018-09-16,Santos Laguna,Club Leon,3,0,2.19,3.43,3.13,2.25,3.47,3.28,Liga MX,,20180916_Santos-Laguna_Club-Leon,0.0,1.18,0.7,3,1,8,3,51.4,48.6,0,1,0,0,5,2
2018-09-16,UNAM Pumas,Lobos BUAP,4,2,1.74,3.65,4.51,1.78,3.72,4.9,Liga MX,,20180916_UNAM-Pumas_Lobos-BUAP,0.0,1.68,1.23,4,2,10,4,50.2,49.8,3,2,0,0,7,3
2018-09-17,Atlas,Club Tijuana,0,1,2.48,3.08,2.92,2.58,3.14,3.02,Liga MX,,20180917_Atlas_Club-Tijuana,0.0,0.78,0.66,1,1,3,3,49.6,50.4,2,0,0,0,1,5
2018-09-22,Monarcas,UNAM Pumas,0,0,2.52,3.43,2.62,2.6,3.61,2.67,Liga MX,,20180922_Monarcas_UNAM-Pumas,-24.0,0.83,0.7,2,2,5,4,48.4,51.6,2,1,0,0,3,6
2018-09-22,Puebla,Club America,2,3,3.71,3.38,1.99,3.84,3.57,2.01,Liga MX,,20180922_Puebla_Club-America,-12.0,0.72,1.26,2,3,4,8,54.3,45.7,3,1,0,0,4,8
2018-09-22,Toluca,Necaxa,3,2,1.93,3.58,3.72,1.95,3.75,3.93,Liga MX,,20180922_Toluca_Necaxa,-12.0,1.34,1.21,4,4,8,11,48.0,52.0,4,1,0,1,6,6
2018-09-23,Club Leon,Lobos BUAP,0,1,1.54,4.16,5.57,1.56,4.32,6.02,Liga MX,,20180923_Club-Leon_Lobos-BUAP,0.0,1.65,1.38,6,5,12,13,45.4,54.6,1,0,0,0,7,4
2018-09-23,Club Tijuana,Pachuca,1,0,2.12,3.33,3.39,2.17,3.49,3.51,Liga MX,,20180923_Club-Tijuana_Pachuca,12.0,0.83,0.78,1,4,1,7,52.0,48.0,3,1,0,0,2,3
2018-09-23,Cruz Azul,Atlas,2,0,1.58,3.82,5.85,1.62,3.79,6.46,Liga MX,,20180923_Cruz-Azul_Atlas,0.0,0.81,0.05,2,0,5,1,47.7,52.3,0,3,0,0,5,0
2018-09-23,Guadalajara Chivas,Queretaro,1,1,2.14,3.15,3.51,2.15,3.26,3.83,Liga MX,,20180923_Guadalajara-Chivas_Queretaro,12.0,1.18,1.07,4,2,7,5,54.3,45.7,0,0,0,0,7,4
2018-09-24,Santos Laguna,Veracruz,1,1,1.41,4.51,7.22,1.42,4.65,8.2,Liga MX,,20180924_Santos-Laguna_Veracruz,12.0,0.72,1.37,1,3,3,7,47.6,52.4,3,1,1,0,4,7
2018-09-24,Tigres UANL,Monterrey,0,0,2.04,3.3,3.66,2.07,3.4,3.94,Liga MX,,20180924_Tigres-UANL_Monterrey,12.0,1.0,0.05,4,0,9,0,53.4,46.6,3,2,0,0,6,1
2018-09-29,Atlas,Toluca,2,0,3.08,3.38,2.23,3.17,3.6,2.28,Liga MX,,20180929_Atlas_Toluca,-36.41430058637707,0.62,0.51,2,1,5,2,48.5,51.5,2,0,0,0,2,2
2018-09-29,Queretaro,Tigres UANL,0,2,3.74,3.22,2.03,3.96,3.35,2.08,Liga MX,,20180929_Queretaro_Tigres-UANL,0.8286011727541336,1.09,0.35,4,3,10,6,46.3,53.7,0,3,0,0,5,2
2018-09-29,Veracruz,Club Leon,0,4,3.14,3.27,2.25,3.28,3.4,2.31,Liga MX,,20180929_Veracruz_Club-Leon,24.414300586377067,1.31,2.0,4,4,6,10,50.6,49.4,2,2,0,0,5,7
