MATCH_ID,date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,stadium,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners,home_goals_2h,away_goals_2h,home_goals_u15,away_goals_u15
19900112_ALG_MLI,1990-01-12,ALG,MLI,5.0,0.0,Friendly,Paris,France,True,,0.0,0.54,0.85,5,3,10,6,47.3,52.7,2,0,0,0,6,4,,,,
19900114_ALG_CMR,1990-01-14,ALG,CMR,3.0,1.0,Friendly,Paris,France,True,,10.0,1.21,1.03,5,4,8,10,53.0,47.0,1,1,0,0,2,5,,,,
19900117_GRE_BEL,1990-01-17,GRE,BEL,2.0,0.0,Friendly,Athens,Greece,False,,0.0,1.08,1.23,3,4,7,9,47.0,53.0,0,3,0,0,5,4,,,,
19900117_MEX_ARG,1990-01-17,MEX,ARG,2.0,0.0,Friendly,Los Angeles,United States,True,,0.0,1.25,0.72,3,2,6,4,49.8,50.2,2,1,0,0,3,1,,,,
19900120_MWI_TAN,1990-01-20,MWI,TAN,2.0,2.0,Friendly,Lobamba,Swaziland,True,,0.0,1.8,1.37,6,5,13,10,55.1,44.9,2,1,0,1,6,5,,,,
19900120_SWZ_BOT,1990-01-20,SWZ,BOT,3.0,1.0,Friendly,Lobamba,Swaziland,False,,0.0,1.39,0.66,5,3,10,5,55.1,44.9,0,1,0,0,8,1,,,,
19900121_BOT_MWI,1990-01-21,BOT,MWI,2.0,2.0,Friendly,Lobamba,Swaziland,True,,-10.0,0.05,1.58,2,5,4,11,51.9,48.1,1,2,0,0,0,7,,,,
19900121_KUW_FRA,1990-01-21,KUW,FRA,0.0,1.0,Friendly,Kuwait City,Kuwait,False,,0.0,0.2,0.51,0,1,1,1,51.9,48.1,2,3,0,0,2,0,,,,
19900121_SWZ_TAN,1990-01-21,SWZ,TAN,0.0,1.0,Friendly,Lobamba,Swaziland,False,,10.0,0.76,0.22,3,1,5,3,51.8,48.2,2,1,0,0,6,5,,,,
19900123_BOT_TAN,1990-01-23,BOT,TAN,0.0,0.0,Friendly,Lobamba,Swaziland,True,,-20.0,0.83,0.86,3,3,8,6,46.3,53.7,0,0,0,0,3,3,,,,
19900124_FRA_German-DR,1990-01-24,FRA,German DR,3.0,0.0,Friendly,Kuwait City,Kuwait,True,,10.0,2.4,1.0,7,3,15,8,57.9,42.1,3,1,0,0,9,3,,,,
19900124_LBR_SEN,1990-01-24,LBR,SEN,0.0,1.0,Friendly,Bauchi,Nigeria,True,,0.0,0.05,2.44,1,7,0,16,49.9,50.1,1,1,0,0,0,6,,,,
19900125_NGA_CIV,1990-01-25,NGA,CIV,2.0,0.0,Friendly,Bauchi,Nigeria,False,,0.0,1.58,1.44,5,4,11,9,53.3,46.7,0,2,0,0,8,10,,,,
19900125_UAE_EGY,1990-01-25,UAE,EGY,1.0,2.0,Friendly,Abu Dhabi,United Arab Emirates,False,,0.0,1.18,0.74,2,2,3,5,50.6,49.4,0,0,0,0,3,2,,,,
19900126_KUW_German-DR,1990-01-26,KUW,German DR,1.0,2.0,Friendly,Kuwait City,Kuwait,False,,-0.28774368332005906,1.08,1.16,2,6,4,13,46.1,53.9,2,0,0,0,3,5,,,,
19900127_CIV_LBR,1990-01-27,CIV,LBR,1.0,0.0,Friendly,Bauchi,Nigeria,True,,0.0,1.82,1.25,6,7,14,17,56.7,43.3,1,1,0,0,7,6,,,,
19900127_UAE_EGY,1990-01-27,UAE,EGY,1.0,0.0,Friendly,Abu Dhabi,United Arab Emirates,False,,-20.0,0.23,0.05,1,0,4,0,50.2,49.8,1,3,0,0,3,4,,,,
19900128_NGA_SEN,1990-01-28,NGA,SEN,1.0,1.0,Friendly,Bauchi,Nigeria,False,,0.0,0.93,0.29,3,2,6,3,43.4,56.6,1,1,0,0,0,3,,,,
19900129_THA_KEN,1990-01-29,THA,KEN,2.0,1.0,King's Cup,Bangkok,Thailand,False,,0.0,1.15,0.14,4,1,7,2,54.7,45.3,2,3,0,0,2,5,,,,
19900202_COL_URU,1990-02-02,COL,URU,0.0,2.0,Miami Cup,Miami,United States,True,,0.0,1.2,0.8,3,2,9,5,47.7,52.3,2,3,0,0,4,4,,,,
19900202_IDN_KEN,1990-02-02,IDN,KEN,2.0,3.0,King's Cup,Bangkok,Thailand,True,,16.0,1.32,2.35,4,9,9,19,48.3,51.7,0,3,0,0,6,13,,,,
