date,home_team,away_team,home_goals,away_goals,sede_ciudad,sede_pais,sede_nombre,odd_home,odd_draw,odd_away,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2021-08-20 15:00:00,Mamelodi Sundowns,AmaZulu,1.0,0.0,Pretoria,South Africa,Loftus Versfeld Stadium,,,,South African Premier Division,,20210820_Mamelodi-Sundowns_AmaZulu,0.0,0.43,2.09,2,9,5,20,50.0,50.0,2,2,0,0,4,8
2021-08-21 13:00:00,Golden Arrows,Maritzburg United,2.0,1.0,Durban,South Africa,Princess Magogo Stadium,,,,South African Premier Division,,20210821_Golden-Arrows_Maritzburg-United,0.0,0.9,1.17,2,3,5,6,50.6,49.4,1,0,0,0,2,6
2021-08-21 13:00:00,Orlando Pirates,Stellenbosch,2.0,2.0,Johannesburg,South Africa,Orlando Stadium,,,,South African Premier Division,,20210821_Orlando-Pirates_Stellenbosch,0.0,1.07,0.99,2,4,5,8,49.7,50.3,1,2,0,0,7,6
2021-08-21 13:00:00,Sekhukhune United FC,Chippa United,0.0,1.0,Tembisa,South Africa,Makhulong Stadium,,,,South African Premier Division,,20210821_Sekhukhune-United-FC_Chippa-United,0.0,0.61,0.39,2,1,2,4,45.0,55.0,0,0,0,0,3,1
2021-08-21 15:00:00,Baroka FC,Marumo Gallants,2.0,0.0,Polokwane,South Africa,Peter Mokaba Stadium,,,,South African Premier Division,,20210821_Baroka-FC_Marumo-Gallants,0.0,0.66,0.54,4,0,9,0,48.3,51.7,0,1,0,0,3,0
2021-08-21 15:00:00,Cape Town City FC,SuperSport United,0.0,0.0,Cape Town,South Africa,Athlone Stadium,,,,South African Premier Division,,20210821_Cape-Town-City-FC_SuperSport-United,0.0,1.11,1.38,3,5,7,12,49.2,50.8,1,1,0,0,5,5
2021-08-22 13:00:00,Moroka Swallows,Royal AM,1.0,0.0,Soweto,South Africa,Dobsonville Stadium,,,,South African Premier Division,,20210822_Moroka-Swallows_Royal-AM,0.0,1.5,1.64,4,4,8,9,54.1,45.9,0,3,0,0,6,5
2021-08-22 15:00:00,TS Galaxy FC,Kaizer Chiefs,0.0,0.0,Nelspruit,South Africa,Mbombela Stadium,,,,South African Premier Division,,20210822_TS-Galaxy-FC_Kaizer-Chiefs,0.0,0.7,0.64,2,2,3,3,44.0,56.0,1,2,0,0,3,3
2021-08-24 15:00:00,Chippa United,Mamelodi Sundowns,0.0,0.0,Gqeberha,South Africa,Nelson Mandela Bay Stadium,,,,South African Premier Division,,20210824_Chippa-United_Mamelodi-Sundowns,0.0,0.71,1.07,3,2,7,3,49.5,50.5,2,0,0,0,4,5
2021-08-24 15:00:00,Marumo Gallants,Orlando Pirates,0.0,0.0,Polokwane,South Africa,Peter Mokaba Stadium,,,,South African Premier Division,,20210824_Marumo-Gallants_Orlando-Pirates,-12.0,2.0,1.65,6,5,11,10,43.5,56.5,2,1,0,0,7,8
2021-08-25 13:00:00,SuperSport United,Golden Arrows,3.0,1.0,Pretoria,South Africa,Lucas Masterpieces Moripe Stadium,,,,South African Premier Division,,20210825_SuperSport-United_Golden-Arrows,-12.0,1.03,0.54,5,3,13,2,53.6,46.4,0,1,0,1,8,2
2021-08-25 15:00:00,AmaZulu,Moroka Swallows,0.0,0.0,Durban,South Africa,Hollywoodbets Kings Park Stadium,,,,South African Premier Division,,20210825_AmaZulu_Moroka-Swallows,-24.0,1.82,1.41,6,5,14,9,47.3,52.7,0,1,0,0,7,7
