date,home_team,away_team,home_goals,away_goals,odd_home,odd_draw,odd_away,odd_home_pin,odd_draw_pin,odd_away_pin,tournament,stadium,MATCH_ID,elo_diff,home_xg,away_xg,home_shots_on,away_shots_on,home_shots_off,away_shots_off,home_possession,away_possession,home_yellow,away_yellow,home_red,away_red,home_corners,away_corners
2018-08-24,Concordia,Astra,0,3,2.51,3.08,2.83,2.61,3.19,2.97,Liga I,,20180824_Concordia_Astra,0.0,1.19,1.96,5,8,9,20,46.8,53.2,3,0,0,1,5,7
2018-08-25,Calarasi,Poli Iasi,2,0,2.43,2.93,3.09,2.55,3.03,3.2,Liga I,,20180825_Calarasi_Poli-Iasi,0.0,0.33,0.77,2,3,3,4,49.0,51.0,3,2,0,0,2,5
2018-08-25,Din. Bucuresti,FC Hermannstadt,2,1,1.56,3.76,6.01,1.57,3.92,7.09,Liga I,,20180825_Din.-Bucuresti_FC-Hermannstadt,0.0,1.99,0.43,6,1,15,3,50.1,49.9,0,0,0,0,5,2
2018-08-26,Gaz Metan Medias,CFR Cluj,0,0,3.18,3.04,2.32,3.51,3.25,2.27,Liga I,,20180826_Gaz-Metan-Medias_CFR-Cluj,0.0,1.18,0.05,2,0,5,0,55.2,44.8,1,1,0,0,5,3
2018-08-26,Viitorul Constanta,FCSB,1,4,2.45,3.21,2.82,2.53,3.39,2.92,Liga I,,20180826_Viitorul-Constanta_FCSB,0.0,0.29,1.35,1,5,2,10,50.2,49.8,3,0,0,0,2,4
2018-08-27,FC Botosani,Sepsi Sf. Gheorghe,0,0,2.25,2.9,3.54,2.36,2.85,3.82,Liga I,,20180827_FC-Botosani_Sepsi-Sf.-Gheorghe,0.0,1.66,0.99,6,4,15,9,48.3,51.7,2,0,0,0,5,3
2018-08-27,FC Voluntari,U Craiova,1,5,4.18,3.27,1.89,4.5,3.28,1.98,Liga I,,20180827_FC-Voluntari_U-Craiova,0.0,1.4,1.2,5,5,12,12,52.1,47.9,2,0,0,0,6,9
2018-08-31,Sepsi Sf. Gheorghe,Calarasi,1,0,1.79,3.24,4.86,1.85,3.31,5.31,Liga I,,20180831_Sepsi-Sf.-Gheorghe_Calarasi,-12.0,0.99,0.64,2,3,2,6,47.2,52.8,0,2,0,0,2,2
2018-09-01,Astra,FC Voluntari,0,0,1.58,3.79,5.62,1.64,3.83,6.17,Liga I,,20180901_Astra_FC-Voluntari,24.0,0.34,0.5,0,1,0,1,55.3,44.7,4,0,0,0,1,2
2018-09-01,FC Hermannstadt,Gaz Metan Medias,0,1,2.89,2.95,2.56,3.06,2.95,2.72,Liga I,,20180901_FC-Hermannstadt_Gaz-Metan-Medias,-12.0,0.11,0.56,0,4,1,9,49.7,50.3,3,0,0,0,2,2
2018-09-01,U Craiova,Din. Bucuresti,3,0,2.11,3.28,3.37,2.15,3.4,3.67,Liga I,,20180901_U-Craiova_Din.-Bucuresti,0.0,1.9,0.05,6,0,13,0,55.6,44.4,1,1,0,0,7,3
2018-09-02,CFR Cluj,Viitorul Constanta,1,2,1.69,3.56,4.96,1.71,3.79,5.37,Liga I,,20180902_CFR-Cluj_Viitorul-Constanta,12.0,0.71,1.36,3,4,6,9,57.1,42.9,1,5,0,0,7,7
2018-09-02,FCSB,FC Botosani,2,2,1.42,4.29,7.36,1.44,4.61,8.35,Liga I,,20180902_FCSB_FC-Botosani,12.0,1.18,1.45,4,5,7,13,47.8,52.2,0,2,0,0,2,5
2018-09-03,Poli Iasi,Concordia,3,0,2.13,3.14,3.52,2.18,3.25,3.75,Liga I,,20180903_Poli-Iasi_Concordia,0.0,1.73,0.32,8,1,19,1,50.1,49.9,0,1,0,0,7,2
2018-09-14,Concordia,Sepsi Sf. Gheorghe,0,3,3.0,2.85,2.54,3.17,2.86,2.69,Liga I,,20180914_Concordia_Sepsi-Sf.-Gheorghe,-36.41430058637707,0.42,0.6,2,3,4,5,50.0,50.0,0,1,0,0,3,3
2018-09-14,Din. Bucuresti,Astra,1,2,2.09,3.15,3.63,2.13,3.29,3.8,Liga I,,20180914_Din.-Bucuresti_Astra,-11.172385326555968,1.03,0.68,4,2,9,3,53.5,46.5,3,3,0,0,4,1
2018-09-15,Calarasi,FC Botosani,3,2,3.02,2.95,2.47,3.14,3.06,2.56,Liga I,,20180915_Calarasi_FC-Botosani,-0.8286011727541336,2.51,1.13,7,5,16,11,50.0,50.0,1,1,0,0,8,11
2018-09-15,Gaz Metan Medias,U Craiova,3,2,2.59,3.1,2.75,2.65,3.12,2.95,Liga I,,20180915_Gaz-Metan-Medias_U-Craiova,-12.414300586377067,1.4,0.91,4,3,8,8,49.1,50.9,0,0,0,0,7,2
2018-09-16,CFR Cluj,FCSB,1,1,2.47,2.95,3.04,2.58,2.95,3.22,Liga I,,20180916_CFR-Cluj_FCSB,-24.0,0.78,0.47,3,1,8,2,54.4,45.6,0,2,0,0,4,7
2018-09-16,FC Voluntari,Poli Iasi,2,3,2.95,3.01,2.48,3.08,3.06,2.6,Liga I,,20180916_FC-Voluntari_Poli-Iasi,-11.172385326555968,0.76,1.83,3,5,5,9,52.7,47.3,3,1,0,0,4,8
2018-09-17,Viitorul Constanta,FC Hermannstadt,1,0,1.5,3.89,6.67,1.53,4.0,7.53,Liga I,,20180917_Viitorul-Constanta_FC-Hermannstadt,24.0,0.68,0.26,3,2,6,5,49.5,50.5,2,3,0,0,5,4
2018-09-21,Poli Iasi,Din. Bucuresti,1,0,2.92,3.16,2.42,3.0,3.34,2.47,Liga I,,20180921_Poli-Iasi_Din.-Bucuresti,23.228504867026913,0.56,0.73,3,3,8,9,44.8,55.2,1,0,0,0,2,2
2018-09-21,Sepsi Sf. Gheorghe,FC Voluntari,1,1,1.58,3.54,6.33,1.61,3.68,6.97,Liga I,,20180921_Sepsi-Sf.-Gheorghe_FC-Voluntari,45.94781806316769,0.69,0.85,3,2,5,4,57.0,43.0,1,1,1,0,2,4
2018-09-22,FC Botosani,Concordia,0,2,1.69,3.58,4.96,1.74,3.72,5.24,Liga I,,20180922_FC-Botosani_Concordia,23.132561486730992,0.57,2.23,2,7,4,15,55.0,45.0,1,0,0,0,6,7
2018-09-22,FC Hermannstadt,CFR Cluj,0,1,5.65,3.68,1.6,5.75,3.89,1.65,Liga I,,20180922_FC-Hermannstadt_CFR-Cluj,-23.171398827245866,0.93,0.94,3,2,2,5,47.9,52.1,4,2,0,0,5,6
2018-09-22,U Craiova,Viitorul Constanta,2,0,2.53,3.03,2.88,2.64,3.07,3.02,Liga I,,20180922_U-Craiova_Viitorul-Constanta,-0.015278282917279284,0.66,0.38,2,2,5,4,51.2,48.8,1,2,0,0,5,0
2018-09-23,FCSB,Calarasi,2,0,1.39,4.26,8.32,1.4,4.45,10.34,Liga I,,20180923_FCSB_Calarasi,-0.8562334898113022,1.32,0.17,6,0,11,2,49.1,50.9,1,3,0,1,4,5
2018-09-24,Astra,Gaz Metan Medias,3,0,2.27,3.04,3.27,2.3,3.18,3.48,Liga I,,20180924_Astra_Gaz-Metan-Medias,-1.2276540235377524,1.69,0.96,7,2,15,3,52.5,47.5,3,1,0,0,6,3
2018-09-28,Din. Bucuresti,Sepsi Sf. Gheorghe,0,0,2.01,3.07,3.95,2.05,3.11,4.48,Liga I,,20180928_Din.-Bucuresti_Sepsi-Sf.-Gheorghe,-44.39654806746262,0.22,2.31,2,8,6,17,44.5,55.5,1,2,0,1,3,6
2018-09-29,FC Voluntari,FC Botosani,1,1,3.24,3.21,2.21,3.46,3.38,2.24,Liga I,,20180929_FC-Voluntari_FC-Botosani,3.2032660794243384,2.06,0.77,7,2,15,5,52.4,47.6,1,1,0,0,8,5
2018-09-30,FC Hermannstadt,FCSB,1,3,4.6,3.46,1.76,5.07,3.53,1.8,Liga I,,20180930_FC-Hermannstadt_FCSB,-68.74661537870952,0.68,0.72,2,3,2,8,42.9,57.1,5,1,0,0,3,6
2018-09-30,Gaz Metan Medias,Poli Iasi,1,0,1.97,3.31,3.78,1.98,3.55,4.07,Liga I,,20180930_Gaz-Metan-Medias_Poli-Iasi,-10.841271238182344,0.76,0.21,1,0,2,0,51.6,48.4,1,2,0,0,2,0
2018-09-30,Viitorul Constanta,Astra,1,0,1.95,3.35,3.83,1.99,3.6,3.96,Liga I,,20180930_Viitorul-Constanta_Astra,-35.242881031676006,0.88,0.84,3,2,6,3,43.7,56.3,1,4,0,0,4,5
2018-10-01,CFR Cluj,U Craiova,0,0,1.74,3.38,4.89,1.79,3.48,5.33,Liga I,,20181001_CFR-Cluj_U-Craiova,-23.95774853497005,0.98,0.61,3,1,7,3,45.2,54.8,0,1,0,0,4,4
2018-10-01,Concordia,Calarasi,1,1,2.47,2.99,2.99,2.54,3.07,3.21,Liga I,,20181001_Concordia_Calarasi,-21.533832906114412,0.82,0.58,2,3,4,8,52.1,47.9,0,0,0,0,3,5
