EQUIPO_NOMBRE,JUGADOR_NOMBRE,GOLES_24M,PENALES_24M,PARTIDOS_EQUIPO_24M,GOLES_POR_PARTIDO,XG_ESTIMADO_PARTIDO,REMATES_ARCO_ESTIMADOS,REMATES_TOTALES_ESTIMADOS,PARTIDOS_MARCANDO_DE_5,PROB_MARCAR
ALB,Kristjan Asllani,3,1,20,0.15,0.15,0.47,1.49,0,0.177
ALB,Rey Manaj,3,0,20,0.15,0.15,0.47,1.49,0,0.177
ALB,Arbër Hoxha,1,0,20,0.05,0.073,0.23,0.73,1,0.091
ALB,Ardian Ismajli,1,0,20,0.05,0.073,0.23,0.73,0,0.091
ALB,Jasir Asani,1,0,20,0.05,0.073,0.23,0.73,0,0.091
ALB,Myrto Uzuni,1,0,20,0.05,0.073,0.23,0.73,0,0.091
ALB,Nedim Bajrami,1,1,20,0.05,0.073,0.23,0.73,0,0.091
ALG,Mohamed Amoura,8,2,34,0.235,0.223,0.69,2.21,0,0.251
ALG,Riyad Mahrez,6,1,34,0.176,0.173,0.54,1.71,1,0.201
ALG,Amine Gouiri,2,0,34,0.059,0.072,0.23,0.72,1,0.09
ALG,Baghdad Bounedjah,2,0,34,0.059,0.072,0.23,0.72,0,0.09
ALG,Ibrahim Maza,2,0,34,0.059,0.072,0.23,0.72,0,0.09
ALG,Mohamed El Amine Amoura,2,0,34,0.059,0.072,0.23,0.72,0,0.09
ALG,Adil Boulbina,1,0,34,0.029,0.048,0.15,0.47,0,0.06
ALG,Aïssa Mandi,1,0,34,0.029,0.048,0.15,0.47,0,0.06
AND,Guillaume López,1,0,21,0.048,0.07,0.22,0.7,0,0.087
AND,Ian Olivera,1,0,21,0.048,0.07,0.22,0.7,0,0.087
AND,Moisés San Nicolás,1,0,21,0.048,0.07,0.22,0.7,0,0.087
ANG,Fredy,2,0,19,0.105,0.116,0.36,1.15,0,0.14
ANG,Gelson Dala,2,0,19,0.105,0.116,0.36,1.15,1,0.14
ANG,Ary Papel,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ANG,Jonathan Buatu,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ANG,M'Bala Nzola,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ANG,Show,1,0,19,0.053,0.076,0.24,0.75,1,0.094
ANG,Zini,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ARG,Lionel Messi,13,0,26,0.5,0.434,1.35,4.31,3,0.431
ARG,Lautaro Martínez,7,1,26,0.269,0.247,0.77,2.45,3,0.275
ARG,Julián Alvarez,5,0,26,0.192,0.184,0.57,1.83,1,0.213
ARG,Alexis Mac Allister,3,0,26,0.115,0.122,0.38,1.21,1,0.147
ARG,Enzo Fernández,3,0,26,0.115,0.122,0.38,1.21,2,0.147
ARG,Thiago Almada,3,0,26,0.115,0.122,0.38,1.21,0,0.147
ARG,Cristian Romero,1,0,26,0.038,0.059,0.19,0.59,1,0.074
ARG,Giovani Lo Celso,1,0,26,0.038,0.059,0.19,0.59,1,0.074
ARM,Eduard Spertsyan,4,1,19,0.211,0.196,0.61,1.95,1,0.225
ARM,Lucas Zelarayán,2,0,19,0.105,0.116,0.36,1.15,0,0.14
ARM,Artur Miranyan,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ARM,Edgar Sevikyan,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ARM,Gor Manvelyan,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ARM,Grant-Leon Ranos,1,0,19,0.053,0.076,0.24,0.75,0,0.094
ARM,Vahan Bichakhchyan,1,0,19,0.053,0.076,0.24,0.75,0,0.094
AUS,Jackson Irvine,3,0,24,0.125,0.13,0.41,1.29,0,0.155
AUS,Nishan Velupillay,3,0,24,0.125,0.13,0.41,1.29,0,0.155
AUS,Connor Metcalfe,2,0,24,0.083,0.097,0.3,0.96,1,0.118
AUS,Kusini Yengi,2,0,24,0.083,0.097,0.3,0.96,0,0.118
AUS,Lewis Miller,2,0,24,0.083,0.097,0.3,0.96,0,0.118
AUS,Aziz Behich,1,0,24,0.042,0.063,0.2,0.63,0,0.079
AUS,Craig Goodwin,1,0,24,0.042,0.063,0.2,0.63,0,0.079
AUS,Martin Boyle,1,1,24,0.042,0.063,0.2,0.63,0,0.079
AUT,Marko Arnautović,12,3,23,0.522,0.445,1.39,4.42,2,0.439
AUT,Michael Gregoritsch,7,0,23,0.304,0.272,0.85,2.7,0,0.298
AUT,Marcel Sabitzer,6,1,23,0.261,0.238,0.74,2.36,1,0.266
AUT,Christoph Baumgartner,3,0,23,0.13,0.134,0.42,1.34,0,0.16
AUT,Konrad Laimer,3,0,23,0.13,0.134,0.42,1.34,0,0.16
AUT,Romano Schmid,3,0,23,0.13,0.134,0.42,1.34,1,0.16
AUT,Stefan Posch,3,0,23,0.13,0.134,0.42,1.34,0,0.16
AUT,Philipp Lienhart,2,0,23,0.087,0.1,0.31,0.99,0,0.122
AZE,Toral Bayramov,2,1,20,0.1,0.112,0.35,1.11,0,0.135
AZE,Emin Mahmudov,1,1,20,0.05,0.073,0.23,0.73,0,0.091
AZE,Renat Dadashov,1,0,20,0.05,0.073,0.23,0.73,0,0.091
AZE,Renat Dadaşov,1,0,20,0.05,0.073,0.23,0.73,1,0.091
BDI,Bonfils-Caleb Bimenyimana,2,0,15,0.133,0.138,0.43,1.37,0,0.164
BDI,Bienvenue Kanakimana,1,0,15,0.067,0.09,0.28,0.9,0,0.111
BDI,Christophe Nduwarugira,1,0,15,0.067,0.09,0.28,0.9,0,0.111
BDI,Jean-Claude Girumugisha,1,0,15,0.067,0.09,0.28,0.9,0,0.111
BEL,Kevin De Bruyne,9,3,26,0.346,0.309,0.96,3.07,1,0.331
BEL,Romelu Lukaku,7,1,26,0.269,0.247,0.77,2.45,3,0.275
BEL,Youri Tielemans,6,2,26,0.231,0.216,0.67,2.14,1,0.244
BEL,Charles De Ketelaere,5,0,26,0.192,0.184,0.57,1.83,2,0.213
BEL,Jérémy Doku,5,0,26,0.192,0.184,0.57,1.83,0,0.213
BEL,Leandro Trossard,4,0,26,0.154,0.153,0.48,1.52,1,0.181
BEL,Maxim De Cuyper,4,0,26,0.154,0.153,0.48,1.52,0,0.181
BEL,Hans Vanaken,3,0,26,0.115,0.122,0.38,1.21,1,0.147
BEN,Steve Mounié,3,0,22,0.136,0.139,0.43,1.38,0,0.166
BEN,Andréas Hountondji,1,0,22,0.045,0.068,0.21,0.67,0,0.084
BEN,Dodo Dokou,1,0,22,0.045,0.068,0.21,0.67,0,0.084
BEN,Hassane Imourane,1,0,22,0.045,0.068,0.21,0.67,0,0.084
BEN,Jodel Dossou,1,0,22,0.045,0.068,0.21,0.67,1,0.084
BEN,Junior Olaitan,1,0,22,0.045,0.068,0.21,0.67,0,0.084
BEN,Tosin Aiyegun,1,0,22,0.045,0.068,0.21,0.67,0,0.084
BEN,Yohan Roche,1,0,22,0.045,0.068,0.21,0.67,0,0.084
BER,Djair Parfitt,4,0,18,0.222,0.204,0.64,2.03,1,0.233
BER,Reggie Lambe,2,0,18,0.111,0.121,0.38,1.2,0,0.145
BER,Julian Carpenter,1,0,18,0.056,0.079,0.25,0.79,0,0.098
BER,Kane Crichlow,1,0,18,0.056,0.079,0.25,0.79,0,0.098
BER,Kole Hall,1,0,18,0.056,0.079,0.25,0.79,0,0.098
BER,Ne-Jai Tucker,1,0,18,0.056,0.079,0.25,0.79,1,0.098
BER,Zeiko Lewis,1,1,18,0.056,0.079,0.25,0.79,0,0.098
BFA,Lassina Traoré,4,0,28,0.143,0.144,0.45,1.43,0,0.171
BFA,Edmond Tapsoba,3,0,28,0.107,0.115,0.36,1.14,0,0.139
BFA,Pierre Landry Kaboré,3,0,28,0.107,0.115,0.36,1.14,0,0.139
BFA,Dango Ouattara,2,1,28,0.071,0.085,0.27,0.85,0,0.105
BFA,Josué Tiendrébéogo,2,0,28,0.071,0.085,0.27,0.85,0,0.105
BFA,Mohamed Zougrana,2,0,28,0.071,0.085,0.27,0.85,0,0.105
BFA,Arsène Kouassi,1,0,28,0.036,0.056,0.17,0.55,0,0.07
BFA,Bertrand Traoré,1,0,28,0.036,0.056,0.17,0.55,0,0.07
BHR,Mahdi Abduljabbar,2,0,24,0.083,0.097,0.3,0.96,0,0.118
BHR,Mohamed Marhoon,2,0,24,0.083,0.097,0.3,0.96,0,0.118
BIH,Edin Džeko,8,0,24,0.333,0.297,0.92,2.95,0,0.32
BIH,Ermedin Demirović,3,0,24,0.125,0.13,0.41,1.29,0,0.155
BIH,Haris Tabaković,3,0,24,0.125,0.13,0.41,1.29,0,0.155
BIH,Ermin Mahmić,2,0,24,0.083,0.097,0.3,0.96,2,0.118
BIH,Kerim Alajbegović,2,0,24,0.083,0.097,0.3,0.96,1,0.118
BIH,Armin Gigović,1,0,24,0.042,0.063,0.2,0.63,0,0.079
BIH,Benjamin Tahirović,1,0,24,0.042,0.063,0.2,0.63,0,0.079
BIH,Esmir Bajraktarević,1,0,24,0.042,0.063,0.2,0.63,0,0.079
BLR,German Barkovsky,1,1,20,0.05,0.073,0.23,0.73,0,0.091
BLR,Gleb Kuchko,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BLR,Nikita Demchenko,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BLR,Sergei Politevich,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BLR,Valeri Gromyko,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BLR,Valery Gromyko,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BLR,Yury Kavalyow,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BOL,Miguel Terceros,8,4,23,0.348,0.307,0.96,3.05,1,0.329
BOL,Carmelo Algarañaz,2,1,23,0.087,0.1,0.31,0.99,0,0.122
BOL,Enzo Monteiro,2,0,23,0.087,0.1,0.31,0.99,0,0.122
BOL,Moisés Paniagua,2,0,23,0.087,0.1,0.31,0.99,2,0.122
BOL,Ervin Vaca,1,0,23,0.043,0.066,0.2,0.65,0,0.082
BOL,Ramiro Vaca,1,0,23,0.043,0.066,0.2,0.65,0,0.082
BOT,Gape Mohutsiwa,2,0,17,0.118,0.126,0.39,1.25,0,0.151
BOT,Tebogo Kopelang,2,0,17,0.118,0.126,0.39,1.25,0,0.151
BOT,Mothusi Johnson,1,0,17,0.059,0.083,0.26,0.82,0,0.102
BOT,Segolame Boy,1,0,17,0.059,0.083,0.26,0.82,0,0.102
BRA,Vinícius Júnior,6,0,25,0.24,0.223,0.69,2.21,3,0.251
BRA,Matheus Cunha,4,0,25,0.16,0.158,0.49,1.57,2,0.186
BRA,Raphinha,4,3,25,0.16,0.158,0.49,1.57,0,0.186
BRA,Luiz Henrique,2,0,25,0.08,0.094,0.29,0.93,0,0.115
BRA,Andreas Pereira,1,0,25,0.04,0.061,0.19,0.61,0,0.077
BRA,Bruno Guimarães,1,0,25,0.04,0.061,0.19,0.61,0,0.077
BRA,Casemiro,1,0,25,0.04,0.061,0.19,0.61,1,0.077
BRA,Estêvão Willian,1,0,25,0.04,0.061,0.19,0.61,0,0.077
BRB,Devonte Richards,1,0,14,0.071,0.095,0.3,0.94,1,0.116
BRB,Omani Leacock,1,1,14,0.071,0.095,0.3,0.94,0,0.116
BUL,Andrian Kraev,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BUL,Filip Krastev,1,0,20,0.05,0.073,0.23,0.73,1,0.091
BUL,Georgi Rusev,1,0,20,0.05,0.073,0.23,0.73,1,0.091
BUL,Kiril Despodov,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BUL,Marin Petkov,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BUL,Radoslav Kirilov,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BUL,Valentin Antov,1,0,20,0.05,0.073,0.23,0.73,0,0.091
BUL,Vasil Panayotov,1,0,20,0.05,0.073,0.23,0.73,0,0.091
CAN,Jonathan David,5,1,28,0.179,0.174,0.54,1.72,1,0.202
CAN,Nathan Saliba,3,0,28,0.107,0.115,0.36,1.14,1,0.139
CAN,Tajon Buchanan,3,0,28,0.107,0.115,0.36,1.14,0,0.139
CAN,Cyle Larin,2,0,28,0.071,0.085,0.27,0.85,2,0.105
CAN,Promise David,2,0,28,0.071,0.085,0.27,0.85,1,0.105
CAN,Niko Sigur,1,0,28,0.036,0.056,0.17,0.55,0,0.07
CAN,Stephen Eustáquio,1,0,28,0.036,0.056,0.17,0.55,1,0.07
CAN,Tani Oluwaseyi,1,0,28,0.036,0.056,0.17,0.55,0,0.07
CGO,Dechan Moussavou,1,0,9,0.111,0.127,0.39,1.26,1,0.152
CGO,Déo Bassinga,1,0,9,0.111,0.127,0.39,1.26,1,0.152
CHA,Célestin Ecua,2,0,16,0.125,0.132,0.41,1.31,1,0.157
CHA,Marius Mouandilmadji,1,0,16,0.062,0.086,0.27,0.86,1,0.106
CHA,Yves Allarabaye,1,0,16,0.062,0.086,0.27,0.86,1,0.106
CHI,Eduardo Vargas,3,0,20,0.15,0.15,0.47,1.49,0,0.177
CHI,Lucas Cepeda,2,0,20,0.1,0.112,0.35,1.11,0,0.135
CHN,Zhang Yuning,2,0,15,0.133,0.138,0.43,1.37,0,0.164
CHN,Behram Abduweli,1,0,15,0.067,0.09,0.28,0.9,0,0.111
CHN,Lin Liangming,1,0,15,0.067,0.09,0.28,0.9,0,0.111
CHN,Wang Yudong,1,1,15,0.067,0.09,0.28,0.9,0,0.111
CHN,Xie Wenneng,1,0,15,0.067,0.09,0.28,0.9,0,0.111
CIV,Amad Diallo,6,0,28,0.214,0.203,0.63,2.01,2,0.232
CIV,Evann Guessand,3,0,28,0.107,0.115,0.36,1.14,0,0.139
CIV,Franck Kessié,3,0,28,0.107,0.115,0.36,1.14,1,0.139
CIV,Yan Diomande,3,0,28,0.107,0.115,0.36,1.14,0,0.139
CIV,Bazoumana Touré,2,0,28,0.071,0.085,0.27,0.85,0,0.105
CIV,Nicolas Pépé,2,0,28,0.071,0.085,0.27,0.85,1,0.105
CIV,Emmanuel Agbadou,1,0,28,0.036,0.056,0.17,0.55,0,0.07
CIV,Guéla Doué,1,0,28,0.036,0.056,0.17,0.55,0,0.07
